"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSQ165","FSQ012","FSD012N","FSD230","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
75210,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,1,1,60,1,2,,,
75211,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75212,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75213,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,1,1,2,2,131,200,2,,,,,,,,,,
75214,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75215,2,2,2,1,2,1,2,2,2,,2,3,2,1,2,,2,2,4,4,3,2,1,1,5,1,8,320,2,,,1,1,72,2,,,,
75216,2,2,3,1,3,2,2,2,2,,3,3,3,,,,,,3,3,1,2,1,1,3,1,19,200,1,,,,,,,,,,
75217,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,2,1,22,180,,,,,,,,,,,
75218,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
75219,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,1,1,4,1,2,400,2,2,,2,2,0,2,,,,
75220,1,1,2,1,1,1,1,1,1,1,3,3,3,,,,,,4,4,1,1,1,1,5,1,26,331,2,,,,,,,,,,
75221,2,2,2,1,2,1,2,2,1,3,,,,,,,,,4,4,,2,1,2,,,,,,,,,,,,,,,
75222,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75223,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75224,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,11,200,2,,,,,,,,,,
75225,1,1,1,1,1,1,2,2,2,,2,3,3,2,2,,2,2,3,4,2,2,1,1,1,1,6,352,2,,,,,,,,,,
75226,1,1,1,1,1,1,1,2,2,,3,3,3,,,,,,3,4,1,1,1,1,5,1,14,622,2,,,1,1,48,1,7,,,
75227,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75228,1,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,1,,,1,1,60,1,3,,,
75229,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,14,200,1,1,1,1,,1,1,7,,,
75230,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,1,1,1,1,24,1,99,,,
75231,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75232,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,2,,,,,,,,,,
75233,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,5,1,6,280,1,1,1,1,1,36,1,2,,,
75234,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75235,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,,,,,,,,
75236,3,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,2,,,,,,,,2,,
75237,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75238,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,1,1,6,2,98,734,2,,,,,,,,,,
75239,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
75240,2,3,3,2,,2,2,2,,,2,3,3,2,2,,2,2,2,2,2,1,1,2,,,,,1,1,1,1,,1,1,3,,,
75241,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
75242,2,1,1,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,1,2,,,,,2,,,1,1,60,1,1,,,
75243,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75244,1,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,1,2,,,,,,,,,,,,,,,
75245,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,7,1,7,875,1,1,1,1,,9,1,3,,,
75246,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,2,2,0,2,,,,
75247,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,1,16,59,2,2,,2,,0,2,,,,
75248,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75249,1,1,2,1,1,1,1,1,2,,3,3,3,,,,,,4,4,1,2,2,,,,,,1,,,,,,,,1,,
75250,2,3,2,2,,2,2,2,,,2,2,2,2,2,,2,2,3,2,3,2,2,,,,,,2,,,2,2,0,2,,,,
75251,3,3,3,,,,,,,,2,3,3,2,2,,2,2,2,1,2,2,2,,,,,,1,,,,,,,,,,
75252,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,,,,,,,,,,,
75253,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,,,,,,,,
75254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75255,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,1,2,12,1,5,,,
75256,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75257,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,1,2,387,1,,,,,,,,,,
75258,2,2,2,2,,2,2,2,,,,,,,,,,,3,3,,2,2,,,,,,2,,,,,,,,,,
75259,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75260,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75261,1,2,3,1,3,1,2,2,2,,1,3,3,1,2,,2,2,3,3,3,2,1,1,2,1,5,300,1,,,1,1,60,1,3,,,
75262,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75264,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75265,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75266,2,3,3,2,,2,2,2,,,2,2,2,2,2,,2,2,3,2,3,2,1,1,7,1,29,864,1,1,1,1,1,12,1,1,,,
75267,2,2,2,1,2,2,1,1,2,,3,3,3,,,,,,3,4,1,1,1,2,,,,,2,1,1,1,1,24,1,6,,,
75268,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,1,1,3,1,2,750,1,,,,,,,,,,
75269,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,1,1,5,1,16,446,2,,,,,,,,,,
75270,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,1,1,3,1,162,375,1,,,,,,,,,,
75271,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75272,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75273,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75274,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75275,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,1,2,1,1,60,1,1,,,
75276,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,1,2,1,1,24,1,3,,,
75277,2,3,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,,,,,,,,,,,
75278,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75279,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,1,4,99999,2,,,,,,,,,,
75280,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,4,1,3,200,2,,,,,,,,,,
75281,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,43,560,1,,,1,1,60,1,3,,,
75282,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75283,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,2,,
75284,2,2,3,2,,1,2,2,2,,2,3,3,2,2,,2,2,3,3,2,1,1,2,,,,,2,,,,,,,,,,
75285,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75286,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,7,1,11,600,2,,,,,,,,,,
75287,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,,,,,,,,
75288,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,2,116,620,2,,,,,,,,,,
75289,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,,,,,,,,1,,
75290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75291,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,5,1,24,1000,1,,,,,,,,1,1,20
75292,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,11,190,2,,,,,,,,,,
75293,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75294,1,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,2,1,0,115,2,,,1,1,48,1,4,,,
75295,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,1,1,11,230,2,,,,,,,,,,
75296,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,7,1,19,748,1,,,,,,,,,,
75297,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
75298,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75299,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75300,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
75301,2,2,1,1,2,1,1,1,2,,,,,,,,,,4,4,,1,1,1,1,1,27,200,,,,,,,,,,,
75302,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75303,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,6,189,2,,,,,,,,,,
75304,2,2,3,1,2,1,2,2,2,,3,3,3,,,,,,3,3,1,2,2,,,,,,1,1,1,1,1,36,1,7,,,
75305,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75306,1,1,1,1,1,1,2,2,2,,1,2,3,1,2,,2,2,4,4,3,2,2,,,,,,2,,,,,,,,,,
75307,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,2,,,,,,,,,,
75308,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,2,66666,152,2,1,2,1,,2,1,99,,,
75309,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,1,1,3,1,0,450,2,,,,,,,,,,
75310,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
75311,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,,,,,,,,,,,
75312,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,,1,2,4,4,3,2,2,,,,,,2,,,,,,,,,,
75313,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
75314,2,3,2,1,3,1,1,1,2,,1,2,3,2,2,,2,2,4,4,3,2,2,,,,,,1,1,1,1,1,24,1,1,,,
75315,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75316,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,2,1,48,1,2,,,
75317,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,1,2,1,1,12,1,6,,,
75318,2,1,2,2,,1,2,2,2,,2,3,3,2,2,,2,2,3,3,2,2,1,1,3,1,17,99999,2,,,1,1,36,1,5,,,
75319,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,1,12,966,1,1,1,1,1,48,1,6,,,
75320,2,2,2,1,2,1,1,2,2,,2,2,3,2,2,,2,2,4,4,3,2,1,1,1,1,15,700,2,,,,,,,,,,
75321,2,2,3,1,2,2,2,2,2,,,,,,,,,,3,3,,2,2,,,,,,,,,,,,,,,,
75322,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,24,320,2,,,1,1,48,2,,,,
75323,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
75324,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75325,3,3,3,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,11,15,2,,,,,,,,,,
75326,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75327,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,2,1,16,310,2,,,,,,,,,,
75328,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75329,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,,,,,,,,,,
75330,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,,,,,,,,,,,
75331,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75332,2,2,1,1,2,1,2,2,2,,,,,,,,,,4,4,,2,1,2,,,,,2,,,,,,,,,,
75333,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75334,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75335,3,1,1,1,2,1,1,1,2,,3,3,3,,,,,,3,4,1,1,1,1,3,1,30,498,1,,,,,,,,,,
75336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75337,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,,,,,,,,,,,
75338,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75339,2,2,1,1,3,1,1,1,1,3,,,,,,,,,4,4,,2,2,,,,,,,,,,,,,,,,
75340,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,,,,,,,,
75341,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,2,,,,,2,,,,,,,,,,
75342,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75343,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75344,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75345,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75346,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75347,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,,,,,,,,,,,
75348,1,2,1,1,1,1,2,2,2,,2,2,3,2,2,,2,2,4,4,3,1,1,1,1,2,106,200,2,,,2,2,0,2,,,,
75349,3,3,3,,,,,,,,,,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,,
75350,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75351,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,1,17,296,1,,,,,,,,1,,
75352,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75353,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,1,1,72,1,3,,,
75354,2,2,2,1,3,1,1,2,2,,2,3,3,2,2,,2,2,3,4,2,2,1,2,,,,,1,,,,,,,,,,
75355,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,7,1,27,437,2,,,1,1,12,1,4,,,
75356,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75357,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
75358,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75359,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75360,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,1,1,48,1,3,,,
75361,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75362,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75363,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
75364,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,2,,,,,,,,,,
75365,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,7,1,26,900,1,,,2,2,0,2,,,,
75366,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,2,,,,,2,,,,,,,,,,
75367,3,3,3,,,,,,,,1,3,3,2,2,,2,2,2,1,2,2,2,,,,,,1,1,1,1,1,48,1,1,,,
75368,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,,2,2,4,4,3,1,1,1,5,1,2,498,1,1,1,1,,3,2,,,,
75369,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,1,1,1,1,23,1,4,,,
75370,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75371,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,1,4,360,1,,,2,1,12,2,,,,
75372,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,6,346,2,2,,1,2,12,1,4,,,
75373,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
75374,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75375,2,3,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,,,,,,,,,,,
75376,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75377,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75378,1,1,3,1,3,1,2,2,2,,1,3,3,1,2,,2,2,3,3,3,1,1,1,6,1,18,760,2,,,1,1,48,1,1,,,
75379,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75380,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,1,1,36,1,4,,,
75381,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75382,2,2,3,2,,2,2,2,,,2,3,3,2,2,,2,2,3,2,2,1,1,1,1,1,17,17,2,,,,,,,,,,
75383,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,28,99999,2,,,1,1,48,1,6,,,
75384,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75385,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,,,,,,,,
75386,2,3,3,2,,2,2,2,,,2,3,3,2,2,,2,2,2,2,2,2,1,1,6,1,7,153,2,2,,1,1,48,9,,,,
75387,2,2,2,2,,1,1,2,2,,3,3,3,,,,,,3,3,1,2,1,1,4,1,13,246,2,1,2,1,1,36,1,1,,,
75388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,,,
75389,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75390,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75391,1,1,1,1,2,1,1,1,2,,2,2,2,2,2,,2,2,4,4,3,1,1,1,4,2,137,309,2,,,,,,,,,,
75392,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75393,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,1,16,420,2,,,,,,,,,,
75394,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,31,175,2,,,1,1,36,1,3,,,
75395,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75396,1,1,2,2,,1,1,1,2,,2,2,3,2,2,,2,2,4,4,3,2,1,1,4,1,26,629,1,1,1,1,1,16,1,3,,,
75397,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75398,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,5,1,18,793,2,,,2,1,12,1,99,,,
75399,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,2,,
75400,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75401,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,,0,2,,,,
75402,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,1,2,1,2,12,2,,,,
75403,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75404,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75405,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75406,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75407,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75408,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,1,1,1,1,1,12,1,2,,,
75409,1,1,1,1,1,2,2,2,2,,3,3,3,,,,,,3,3,1,2,2,,,,,,2,,,,,,,,,,
75410,2,3,2,1,3,1,1,1,2,,2,3,2,1,2,,1,2,4,4,3,2,1,1,2,1,11,500,2,,,,,,,,,,
75411,2,2,2,2,,1,2,2,2,,2,2,3,2,2,,2,2,3,3,3,2,1,2,,,,,2,,,1,1,48,1,6,,,
75412,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
75413,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,,,,,,,,
75414,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75415,1,2,2,1,1,2,1,2,2,,,,,,,,,,4,4,,1,1,1,1,1,10,15,2,,,,,,,,,,
75416,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75417,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75418,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75419,2,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,3,1,27,160,1,,,,,,,,,,
75420,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,2,,,,,,2,,,1,1,60,1,4,,,
75421,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
75422,1,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,1,1,4,1,6,443,2,,,,,,,,,,
75423,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75424,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75425,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75426,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75427,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,,0,2,,,,
75428,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75429,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,2,0,2,,,,
75430,1,1,1,1,1,1,1,2,1,3,2,1,3,2,2,,2,2,4,4,3,1,2,,,,,,2,,,1,1,999,1,3,,,
75431,2,2,3,2,,2,2,2,,,2,3,2,2,1,3,1,2,3,2,3,1,1,1,7,1,66,800,1,,,,,,,,,,
75432,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
75433,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75434,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,4,438,1,,,,,,,,,,
75435,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75436,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,1,1,2,1,2,319,1,1,1,1,,9,1,2,,,
75437,2,1,2,2,,2,2,2,,,2,3,3,2,2,,2,2,3,3,2,2,2,,,,,,1,1,1,1,,3,2,,,,
75438,3,3,3,,,,,,,,2,3,3,2,2,,2,2,2,1,2,2,2,,,,,,1,1,1,1,1,24,1,7,,,
75439,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,1,,,1,1,60,1,2,,,
75440,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75441,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,1,1,1,,1,2,,,,
75442,2,3,2,2,,1,2,2,2,,2,3,3,2,2,,2,2,3,3,2,2,2,,,,,,1,1,1,1,,9,1,7,,,
75443,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
75444,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75445,2,2,2,2,,2,2,2,,,3,2,3,2,2,,2,2,3,3,2,2,1,1,3,9,99999,99999,2,,,,,,,,,,
75446,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,7,1,19,748,1,,,,,,,,,,
75447,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
75448,2,2,2,1,2,2,2,2,2,,3,3,3,,,,,,3,3,1,2,2,,,,,,2,1,2,1,1,12,1,5,,,
