"SEQN","OCD150","OCQ180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCQ295","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCD470G","OCD470","OCD480"
21373,4,,,,,,,,,,,,,2,1,21,12,1,1,2,2,,,
21375,4,,,,,,,,,,,,,6,1,39,36,2,,,,,,
21376,1,70,,28,9,5,300,1,2,2,2,,,,2,,,,,,,4,,
21378,4,,,,,,,,,,,,,4,1,35,108,1,1,10,1,,,
21380,3,,,,,,,,,,,,,,1,33,48,1,1,8,2,,,
21382,4,,,,,,,,,,,,,3,1,16,300,2,,,,,,
21384,4,,,,,,,,,,,,,4,1,10,396,1,1,8,1,,,
21385,1,36,,8,39,1,60,2,,1,1,1,12,,2,,,,,,,,,
21386,1,80,,31,29,1,0,2,,2,1,2,,,1,37,300,,2,,,,,
21388,1,30,1,27,11,1,8,2,,2,2,,,,2,,,,,,,,,
21391,4,,,,,,,,,,,,,3,1,20,360,2,,,,,,
21392,1,15,2,41,19,1,9,2,,2,2,,,,2,,,,,,,,,
21393,1,40,,42,6,5,120,2,,2,2,,,,2,,,,,,,,,
21394,3,,,,,,,,,,,,,,1,24,8,2,,,,,,
21395,4,,,,,,,,,,,,,3,1,11,60,2,,,,,,
21396,4,,,,,,,,,,,,,6,1,33,24,1,1,10,1,,,
21399,1,40,,38,8,4,120,2,,2,2,,,,2,,,,,,,,,
21401,1,20,2,36,11,1,8,1,3,2,2,,,,2,,,,,,,,,
21404,4,,,,,,,,,,,,,3,1,24,600,1,1,8,2,,,
21407,4,,,,,,,,,,,,,3,1,5,336,2,,,,,,
21409,4,,,,,,,,,,,,,1,1,34,12,1,1,8,2,,,
21411,1,35,,28,11,1,5,2,,2,2,,,,2,,,,,,,,,
21412,1,50,,29,1,1,96,2,,2,1,2,,,2,,,,,,,,,
21413,1,40,,23,11,1,18,2,,2,2,,,,2,,,,,,,4,,
21414,1,25,2,31,8,1,8,1,1,2,2,,,,2,,,,,,,,,
21415,4,,,,,,,,,,,,,2,4,,,,,,,,,
21417,4,,,,,,,,,,,,,5,1,20,18,2,,,,,,
21418,1,64,,31,1,5,24,1,1,2,2,,,,1,16,60,,,,,4,,
21419,1,40,,39,1,4,360,2,,2,2,,,,2,,,,,,,,,
21420,1,53,,20,30,1,18,2,,1,1,1,1,,1,30,84,,1,8,1,,,
21421,4,,,,,,,,,,,,,1,4,,,,,,,,,
21423,1,50,,4,36,1,48,2,,1,2,,,,2,,,,,,,,,
21424,1,35,,13,14,5,12,2,,2,2,,,,2,,,,,,,,,
21425,1,25,2,27,20,1,0,2,,2,2,,,,1,21,3,,,,,,,
21426,4,,,,,,,,,,,,,1,4,,,,,,,,,
21427,1,48,,10,29,1,6,1,1,2,1,1,7,,1,29,144,,1,7,2,,,
21429,1,45,,38,1,1,20,2,,2,1,2,,,2,,,,,,,,,
21431,4,,,,,,,,,,,,,1,1,16,24,2,,,,4,,
21432,1,65,,4,35,1,1,2,,2,2,,,,1,40,36,,,,,4,,
21433,4,,,,,,,,,,,,,3,1,16,192,2,,,,,,
21435,1,11,2,33,17,1,12,2,,2,2,,,,2,,,,,,,,,
21436,4,,,,,,,,,,,,,1,1,11,48,2,,,,,,
21437,2,,1,27,20,1,48,1,8,2,1,1,8,,2,,,,,,,,,
21439,1,8,2,19,10,1,1,2,,2,2,,,,1,21,6,,,,,4,,
21441,1,60,,20,35,1,96,2,,2,1,1,8,,2,,,,,,,,,
21442,2,,1,40,5,4,60,2,,2,2,,,,1,30,360,,,,,,,
21444,1,40,,27,20,1,18,2,,2,2,,,,2,,,,,,,4,,
21446,1,40,,23,21,1,12,2,,2,2,,,,1,9,36,,,,,,,
21447,4,,,,,,,,,,,,,4,1,24,144,2,,,,,,
21449,4,,,,,,,,,,,,,1,1,17,24,2,,,,,,
21453,1,44,,4,30,1,18,2,,1,2,,,,2,,,,,,,,,
21455,1,35,,1,26,6,99999,2,,2,2,,,,1,25,99999,,,,,,,
21456,4,,,,,,,,,,,,,3,1,10,384,2,,,,,,
21457,4,,,,,,,,,,,,,3,1,3,480,1,1,1,1,,,
21459,4,,,,,,,,,,,,,2,1,30,3,2,,,,,,
21460,1,40,,28,39,5,252,2,,2,1,2,,,2,,,,,,,,,
21462,1,40,,27,11,1,12,2,,2,2,,,,2,,,,,,,4,,
21465,2,,1,20,35,1,24,2,,1,1,1,8,,1,33,36,,1,8,1,4,,
21466,1,40,,3,33,1,36,2,,2,1,1,10,,2,,,,,,,,,
21467,4,,,,,,,,,,,,,6,1,30,48,2,,,,,,
21468,4,,,,,,,,,,,,,3,1,1,540,2,,,,,,
21469,4,,,,,,,,,,,,,7,4,,,,,,,,,
21472,4,,,,,,,,,,,,,7,1,34,12,1,1,8,1,,,
21476,1,15,2,42,12,1,84,2,,2,2,,,,1,14,96,,,,,4,,
21477,1,35,,32,13,1,5,2,,2,2,,,,1,13,36,,,,,,,
21481,1,16,2,28,6,1,24,2,,2,2,,,,2,,,,,,,,,
21483,2,,1,41,5,2,72,2,,2,2,,,,2,,,,,,,,,
21484,4,,,,,,,,,,,,,6,1,2,336,2,,,,,,
21486,4,,,,,,,,,,,,,4,1,30,48,1,1,6,2,4,,
21488,1,20,2,26,11,1,2,2,,2,2,,,,1,20,12,,,,,,,
21489,4,,,,,,,,,,,,,4,1,25,240,2,,,,,,
21490,1,45,,38,4,1,18,2,,2,2,,,,1,21,84,,,,,,,
21491,3,,,,,,,,,,,,,,1,27,96,2,,,,,,
21493,4,,,,,,,,,,,,,2,1,39,0,2,,,,4,,
21494,2,,1,28,35,1,108,2,,2,2,,,,2,,,,,,,,,
21495,1,30,1,27,20,1,72,2,,2,2,,,,2,,,,,,,,,
21498,1,12,2,27,21,1,19,2,,2,2,,,,2,,,,,,,,,
21499,2,,1,24,39,1,144,2,,2,2,,,,1,40,300,,,,,,,
21500,4,,,,,,,,,,,,,3,1,1,240,2,,,,,,
21501,4,,,,,,,,,,,,,3,1,12,24,2,,,,,,
21502,4,,,,,,,,,,,,,3,1,31,276,1,1,7,2,,,
21504,4,,,,,,,,,,,,,3,1,39,168,2,,,,,,
21505,4,,,,,,,,,,,,,2,1,21,2,2,,,,,,
21506,1,40,,32,28,5,72,2,,2,1,1,4,,2,,,,,,,,,
21509,4,,,,,,,,,,,,,1,1,10,120,2,,,,,,
21510,1,24,2,38,12,1,12,2,,2,1,2,,,1,24,120,,2,,,,,
21512,4,,,,,,,,,,,,,4,1,9,84,2,,,,4,,
21513,2,,2,41,16,1,12,2,,2,2,,,,1,5,48,,,,,,,
21514,1,46,,44,16,2,120,2,,2,2,,,,2,,,,,,,,,
21517,4,,,,,,,,,,,,,1,1,24,120,2,,,,,,
21518,1,75,,44,1,4,60,2,,2,2,,,,1,7,216,,,,,4,,
21520,4,,,,,,,,,,,,,4,1,16,72,2,,,,,,
21521,1,60,,21,9,1,60,2,,1,1,1,2,,2,,,,,,,,,
21522,1,40,,43,12,4,108,2,,2,2,,,,1,20,84,,,,,,,
21525,3,,,,,,,,,,,,,,1,19,7,2,,,,,,
21527,1,40,,38,13,1,10,2,,2,2,,,,2,,,,,,,,,
21528,4,,,,,,,,,,,,,3,1,25,468,2,,,,,,
21529,4,,,,,,,,,,,,,2,4,,,,,,,,,
21530,4,,,,,,,,,,,,,3,1,11,132,2,,,,,,
21531,4,,,,,,,,,,,,,3,1,14,24,2,,,,,,
21533,1,40,,30,13,1,2,2,,2,2,,,,1,2,180,,,,,,,
21534,1,45,,27,1,1,30,2,,2,2,,,,1,10,60,,,,,,,
21537,4,,,,,,,,,,,,,3,1,32,8,2,,,,,,
21538,4,,,,,,,,,,,,,4,1,30,420,2,,,,,,
21541,4,,,,,,,,,,,,,1,1,33,72,1,1,8,2,,,
21542,1,48,,42,7,5,120,2,,2,1,2,,,1,33,204,,2,,,,,
21543,3,,,,,,,,,,,,,,1,6,120,2,,,,,,
21544,4,,,,,,,,,,,,,6,1,35,348,1,1,2,2,,,
21547,1,38,,4,30,1,12,2,,2,2,,,,2,,,,,,,,,
21548,1,15,2,27,21,1,0,1,1,2,1,2,,,1,39,14,,2,,,,,
21551,4,,,,,,,,,,,,,2,1,14,240,1,1,8,1,4,,
21552,4,,,,,,,,,,,,,3,1,1,480,2,,,,,,
21553,1,50,,4,31,1,84,2,,1,1,1,1,,2,,,,,,,,,
21554,4,,,,,,,,,,,,,3,1,3,360,2,,,,,,
21556,4,,,,,,,,,,,,,3,1,8,120,2,,,,,,
21557,4,,,,,,,,,,,,,3,1,16,144,2,,,,,,
21558,4,,,,,,,,,,,,,7,1,39,216,1,1,1,2,,,
21559,1,50,,12,15,1,60,1,10,1,1,1,10,,1,23,120,,1,2,2,,,
21561,4,,,,,,,,,,,,,3,4,,,,,,,,,
21562,4,,,,,,,,,,,,,1,4,,,,,,,,,
21563,1,42,,28,11,1,12,2,,2,2,,,,2,,,,,,,,,
21564,3,,,,,,,,,,,,,,4,,,,,,,,,
21566,1,50,,42,1,1,36,2,,2,2,,,,2,,,,,,,,,
21568,1,40,,35,24,5,168,1,0,2,2,,,,2,,,,,,,,,
21569,1,40,,27,20,1,1,2,,2,2,,,,1,20,48,,,,,,,
21571,1,60,,32,29,5,216,2,,2,1,1,3,,2,,,,,,,,,
21574,4,,,,,,,,,,,,,3,1,9,120,2,,,,,,
21576,1,33,1,39,22,1,24,2,,2,2,,,,2,,,,,,,,,
21577,4,,,,,,,,,,,,,3,1,2,240,2,,,,,,
21582,4,,,,,,,,,,,,,3,1,12,504,2,,,,,,
21583,1,60,,29,1,1,36,2,,2,2,,,,2,,,,,,,,,
21586,4,,,,,,,,,,,,,3,1,34,300,1,1,8,1,,,
21588,3,,,,,,,,,,,,,,1,6,48,1,1,2,2,3,,36
21589,1,32,2,28,11,1,24,2,,2,1,2,,,1,31,240,,1,8,1,,,
21591,4,,,,,,,,,,,,,5,1,34,60,2,,,,,,
21592,1,40,,42,30,1,360,2,,1,1,1,8,,2,,,,,,,4,,
21593,1,64,,3,31,1,5,2,,1,1,1,10,,2,,,,,,,1,28,32
21598,4,,,,,,,,,,,,,3,1,5,384,2,,,,,,
21599,1,35,,27,19,1,0,2,,2,2,,,,2,,,,,,,,,
