"SEQN","HOD010","HOD030","HOD040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOD140","HOD150","HOD160","HOD170","HOD180","HOD190","HOD210","HOD220"
10253,4,1,99,5,1,2,1,2,2,,2,,,2,,2
10254,2,,6,6,5,2,1,2,,,,,,,,
10255,2,,6,7,5,1,1,2,,,,,,,,
10256,2,,3,4,2,1,1,2,,,,,,,,
10257,2,,3,7,2,1,1,2,1,2,2,,,2,,1
10258,2,,3,4,1,1,1,1,,,,,,,,
10259,2,,3,8,3,1,1,2,2,,2,,,2,,2
10260,2,,3,5,5,1,1,1,,,,,,,,
10261,4,5,3,5,2,2,1,1,,,,,,,,
10262,4,6,99,3,4,2,1,2,,,,,,,,
10263,2,,99,4,1,2,1,1,,,,,,,,
10264,2,,4,6,5,1,1,2,,,,,,,,
10265,2,,3,7,3,1,1,2,,,,,,,,
10266,5,,99,7,5,1,1,2,,,,,,,,
10267,4,4,99,3,3,2,1,2,,,,,,,,
10268,2,,3,7,5,1,1,1,,,,,,,,
10269,2,,6,11,5,1,1,2,,,,,,,,
10270,2,,3,11,4,1,1,2,1,2,1,2,,1,2,2
10271,4,3,1,5,2,2,1,1,,,,,,,,
10272,2,,2,5,4,2,1,2,,,,,,,,
10273,2,,3,7,4,1,1,1,,,,,,,,
10274,1,,2,6,5,1,1,2,,,,,,,,
10275,2,,2,7,5,1,2,2,,,,,,,,
10276,1,,1,5,4,1,2,2,,,,,,,,
10277,,,,,,,,,,,,,,,,
10278,2,,1,6,1,1,1,2,1,9,2,,,2,,1
10279,4,5,99,4,2,2,1,2,2,,2,,,2,,1
10280,2,,3,8,5,1,1,2,,,,,,,,
10281,2,,99,5,1,2,1,2,,,,,,,,
10282,2,,99,4,4,2,1,2,,,,,,,,
10283,2,,6,8,5,1,1,2,,,,,,,,
10284,3,,6,6,5,1,1,2,,,,,,,,
10285,2,,3,6,5,1,1,2,,,,,,,,
10286,2,,99,4,3,2,1,2,,,,,,,,
10287,2,,1,5,3,1,1,2,1,2,2,,,2,,2
10288,2,,4,7,2,1,1,2,,,,,,,,
10289,2,,3,8,1,1,1,2,,,,,,,,
10290,3,,99,4,4,2,1,2,2,,2,,,2,,2
10291,2,,2,11,5,1,2,1,,,,,,,,
10292,2,,99,6,4,1,1,2,,,,,,,,
10293,2,,5,7,4,1,1,2,,,,,,,,
10294,1,,1,5,1,1,1,2,,,,,,,,
10295,2,,2,10,1,1,1,1,,,,,,,,
10296,1,,1,5,4,1,1,2,,,,,,,,
10297,2,,99,5,5,1,1,1,,,,,,,,
10298,2,,6,6,5,1,2,1,,,,,,,,
10299,4,3,99,5,2,2,1,2,,,,,,,,
10300,2,,3,7,5,1,1,2,,,,,,,,
10301,2,,99,6,1,2,1,2,,,,,,,,
10302,1,,99,5,3,1,1,2,,,,,,,,
10303,2,,1,7,3,1,1,1,1,2,2,,,2,,2
10304,4,7,2,3,4,2,1,2,,,,,,,,
10305,2,,3,6,5,1,1,1,,,,,,,,
10306,2,,3,9,5,1,1,1,,,,,,,,
10307,2,,3,6,5,1,1,2,,,,,,,,
10308,4,7,99,4,3,2,1,2,,,,,,,,
10309,3,,6,6,3,1,1,2,1,1,1,2,,2,,1
10310,4,1,6,7,5,1,1,2,,,,,,,,
10311,2,,4,9,5,1,2,2,,,,,,,,
10312,2,,5,6,3,1,1,1,,,,,,,,
10313,2,,1,9,4,1,1,2,,,,,,,,
10314,,,,,,,,,,,,,,,,
10315,2,,99,8,4,1,1,2,,,,,,,,
10316,2,,3,7,4,1,1,2,,,,,,,,
10317,2,,6,5,3,1,1,2,,,,,,,,
10318,4,1,6,5,1,2,1,2,,,,,,,,
10319,2,,3,6,5,1,1,2,,,,,,,,
10320,3,,2,6,5,1,1,2,,,,,,,,
10321,2,,3,6,5,1,2,2,,,,,,,,
10322,2,,99,6,5,1,1,2,,,,,,,,
10323,2,,99,6,5,1,1,2,,,,,,,,
10324,2,,2,9,4,1,2,2,,,,,,,,
10325,2,,2,6,5,1,1,1,,,,,,,,
10326,3,,99,4,4,2,1,2,,,,,,,,
10327,3,,2,6,2,2,1,2,2,,2,,,2,,2
10328,3,,99,6,5,1,1,2,,,,,,,,
10329,2,,1,10,3,1,1,1,,,,,,,,
10330,2,,2,5,3,3,1,1,,,,,,,,
10331,1,,3,4,1,1,1,2,,,,,,,,
10332,2,,3,9,1,1,1,2,,,,,,,,
10333,4,7,1,4,99,2,1,2,,,,,,,,
10334,4,4,6,4,1,2,1,2,2,,2,,,2,,2
10335,2,,4,6,5,1,2,2,,,,,,,,
10336,2,,1,7,1,1,1,2,,,,,,,,
10337,2,,99,5,1,2,1,2,,,,,,,,
10338,2,,3,6,5,1,1,2,,,,,,,,
10339,3,,4,4,1,2,1,2,,,,,,,,
10340,2,,4,9,3,1,1,2,,,,,,,,
10341,2,,6,5,3,2,1,2,2,,2,,,2,,1
10342,2,,99,6,3,2,1,2,,,,,,,,
10343,1,,2,6,2,1,1,2,,,,,,,,
10344,2,,3,6,1,1,1,2,,,,,,,,
10345,2,,1,7,3,1,1,2,,,,,,,,
10346,4,1,6,5,4,1,1,2,,,,,,,,
10347,2,,3,6,5,1,1,2,,,,,,,,
10348,2,,4,5,5,1,1,2,,,,,,,,
10349,3,,1,4,1,2,1,2,,,,,,,,
10350,2,,3,7,2,1,2,2,,,,,,,,
10351,2,,99,6,2,2,1,2,2,,2,,,1,2,2
10352,2,,6,7,5,1,2,1,,,,,,,,
10353,2,,2,5,1,2,1,1,,,,,,,,
10354,4,4,4,4,3,2,1,1,,,,,,,,
10355,1,,1,8,4,1,1,2,2,,2,,,2,,2
10356,3,,1,7,5,1,1,2,,,,,,,,
10357,2,,6,6,4,1,1,2,,,,,,,,
10358,1,,3,4,2,1,1,2,,,,,,,,
10359,2,,99,7,5,1,1,2,,,,,,,,
10360,4,5,99,5,3,2,1,2,,,,,,,,
10361,4,5,99,3,5,2,1,2,,,,,,,,
10362,1,,1,6,4,2,1,2,,,,,,,,
10363,2,,3,9,5,1,1,2,,,,,,,,
10364,1,,1,5,5,1,1,2,,,,,,,,
10365,1,,2,6,2,1,1,2,,,,,,,,
10366,4,3,99,3,1,2,1,2,,,,,,,,
10367,2,,5,7,5,1,2,2,,,,,,,,
10368,2,,4,5,1,2,1,2,,,,,,,,
10369,2,,1,6,1,2,1,2,1,9,2,,,2,,2
10370,2,,1,7,5,1,1,2,,,,,,,,
10371,2,,99,11,5,1,1,2,1,2,2,,,2,,2
10372,2,,99,4,2,2,1,2,,,,,,,,
10373,2,,99,6,5,1,1,2,,,,,,,,
10374,1,,3,6,5,1,1,2,,,,,,,,
10375,2,,2,6,4,1,1,2,,,,,,,,
10376,5,,4,6,3,2,1,2,,,,,,,,
10377,4,7,1,3,5,2,1,2,,,,,,,,
10378,2,,4,5,2,1,1,1,,,,,,,,
10379,1,,2,4,5,1,1,2,,,,,,,,
10380,2,,99,4,2,2,1,2,,,,,,,,
10381,2,,4,6,5,1,1,1,,,,,,,,
10382,2,,6,13,5,1,1,1,,,,,,,,
10383,2,,2,10,4,1,1,2,,,,,,,,
10384,4,5,99,3,2,2,1,2,,,,,,,,
10385,4,6,99,5,1,2,1,2,,,,,,,,
10386,2,,2,9,3,1,1,2,2,,1,2,,2,,2
10387,4,4,99,5,4,2,1,2,,,,,,,,
10388,2,,6,7,5,1,1,1,,,,,,,,
10389,2,,3,7,3,1,1,1,,,,,,,,
10390,2,,3,9,4,1,1,1,,,,,,,,
10391,2,,4,6,5,1,1,1,,,,,,,,
10392,4,5,2,4,4,2,1,2,,,,,,,,
10393,2,,2,6,2,3,1,1,,,,,,,,
10394,2,,99,12,5,1,1,2,,,,,,,,
10395,2,,3,8,4,1,1,2,,,,,,,,
10396,2,,5,10,3,1,1,2,,,,,,,,
10397,4,1,99,4,1,2,1,2,,,,,,,,
10398,3,,1,6,2,1,1,2,,,,,,,,
10399,2,,99,4,2,2,1,2,,,,,,,,
10400,2,,99,4,1,1,1,1,,,,,,,,
10401,2,,6,5,5,1,1,2,,,,,,,,
10402,4,4,99,4,2,2,1,2,,,,,,,,
10403,2,,3,10,2,1,1,1,1,1,2,,,2,,2
10404,2,,3,6,4,1,1,2,,,,,,,,
10405,4,4,99,6,2,2,1,2,2,,2,,,2,,2
10406,1,,3,4,3,1,1,2,,,,,,,,
10407,3,,3,4,1,2,1,2,,,,,,,,
10408,2,,1,5,3,2,1,2,,,,,,,,
10409,4,4,3,5,2,2,1,1,,,,,,,,
10410,2,,1,6,1,2,1,2,,,,,,,,
10411,2,,1,6,4,1,1,2,,,,,,,,
10412,3,,99,7,1,3,1,2,,,,,,,,
10413,1,,1,6,2,1,1,2,,,,,,,,
10414,4,5,2,4,3,2,1,2,,,,,,,,
10415,3,,3,4,5,1,1,2,,,,,,,,
10416,1,,99,5,4,1,1,2,,,,,,,,
10417,2,,3,11,4,1,1,1,,,,,,,,
10418,2,,2,8,5,1,1,2,,,,,,,,
10419,2,,1,9,2,1,1,2,,,,,,,,
10420,2,,4,6,5,1,2,1,,,,,,,,
10421,2,,99,5,3,2,1,2,,,,,,,,
10422,2,,1,6,3,1,2,2,,,,,,,,
10423,1,,99,4,3,1,1,2,1,2,2,,,2,,1
10424,2,,1,10,4,1,1,1,,,,,,,,
10425,2,,99,5,5,1,1,2,,,,,,,,
10426,2,,2,6,5,1,1,2,,,,,,,,
10427,2,,99,9,5,1,1,2,,,,,,,,
10428,2,,1,7,2,1,1,2,,,,,,,,
10429,2,,3,6,5,1,1,2,,,,,,,,
10430,4,7,99,4,3,2,1,2,,,,,,,,
10431,2,,99,5,4,1,1,2,,,,,,,,
10432,1,,1,7,1,1,2,2,,,,,,,,
10433,4,6,99,3,3,2,1,2,,,,,,,,
10434,1,,3,5,1,1,1,2,,,,,,,,
10435,2,,2,4,1,1,1,2,,,,,,,,
10436,4,3,99,3,3,2,1,2,,,,,,,,
10437,1,,3,4,5,1,2,2,,,,,,,,
10438,4,4,1,7,1,2,1,2,,,,,,,,
10439,4,6,2,4,1,2,1,2,,,,,,,,
10440,2,,99,4,3,2,1,2,,,,,,,,
10441,4,3,99,4,1,2,1,2,,,,,,,,
10442,1,,3,4,1,1,1,1,,,,,,,,
10443,2,,4,6,3,1,1,2,,,,,,,,
10444,1,,99,6,3,1,1,2,,,,,,,,
10445,2,,1,8,3,1,1,1,,,,,,,,
10446,6,,5,999,2,3,1,9,,,,,,,,
10447,2,,3,7,5,1,1,2,,,,,,,,
10448,2,,6,6,5,1,1,2,,,,,,,,
10449,2,,3,7,5,1,1,2,,,,,,,,
10450,2,,4,6,5,1,1,1,,,,,,,,
10451,2,,1,6,3,2,1,2,,,,,,,,
10452,2,,3,7,5,1,1,1,,,,,,,,
10453,1,,1,5,4,1,1,2,,,,,,,,
10454,2,,4,6,5,1,1,1,,,,,,,,
10455,2,,99,4,3,2,1,2,,,,,,,,
10456,2,,4,5,1,1,1,2,1,1,2,,,1,2,2
10457,4,5,2,4,1,2,1,2,,,,,,,,
10458,1,,99,7,2,2,2,2,,,,,,,,
10459,2,,6,5,5,1,1,2,,,,,,,,
10460,4,4,99,4,1,2,1,2,2,,2,,,2,,2
10461,2,,99,4,1,2,1,1,,,,,,,,
10462,1,,1,6,2,1,1,2,,,,,,,,
10463,2,,99,4,4,2,1,2,,,,,,,,
10464,2,,6,4,2,2,9,1,,,,,,,,
10465,4,1,99,5,3,2,1,2,,,,,,,,
10466,2,,99,8,2,1,1,1,,,,,,,,
10467,2,,4,6,1,2,1,2,,,,,,,,
10468,3,,6,7,5,1,1,2,,,,,,,,
10469,2,,4,6,3,1,1,1,,,,,,,,
10470,4,7,99,4,2,2,1,2,,,,,,,,
10471,2,,1,7,2,1,2,2,,,,,,,,
10472,2,,1,8,2,1,1,2,,,,,,,,
10473,4,6,3,4,2,2,1,1,,,,,,,,
10474,3,,2,6,5,1,1,2,,,,,,,,
10475,4,7,1,6,1,2,1,2,,,,,,,,
10476,2,,1,4,3,1,1,2,,,,,,,,
10477,4,5,3,3,1,2,1,2,,,,,,,,
10478,5,,6,6,3,2,1,2,2,,2,,,1,1,2
