"SEQN","OCD150","OCD180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCD310B","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCQ470G","OCD470","OCD480"
10225,4,,,,,,,,,,,,,3,1,11,384,1,2,,,,,
10226,4,,,,,,,,,,,,,7,1,37,18,1,1,10,1,,,
10227,4,,,,,,,,,,,,,3,1,28,360,2,,,,,,
10228,1,30,1,35,32,1,12,1,2,,2,,,,1,32,48,,,,,4,,
10229,4,,,,,,,,,,,,,3,4,,,,,,,,,
10230,4,,,,,,,,,,,,,2,4,,,,,,,,,
10234,1,36,,40,16,4,9,2,,2,2,,,,1,16,72,,,,,,,
10236,1,30,1,27,19,1,60,1,8,2,2,,,,2,,,,,,,,,
10237,1,60,,41,24,5,24,2,,,2,,,,2,,,,,,,,,
10238,1,50,,4,30,5,120,1,8,,1,1,8,,2,,,,,,,,,
10239,1,70,,36,24,5,12,1,10,,2,,,,1,98,120,,,,,,,
10240,1,26,1,37,4,1,24,2,,2,1,2,,,2,,,,,,,4,,
10243,1,15,2,26,15,1,180,2,,2,2,,,,1,5,192,,,,,,,
10245,1,16,2,35,32,1,3,2,,,1,2,,,2,,,,,,,,,
10247,4,,,,,,,,,,,,,1,1,1,84,2,,,,,,
10249,4,,,,,,,,,,,,,4,1,12,300,2,,,,,,
10250,4,,,,,,,,,,,,,3,1,20,192,2,,,,,,
10251,1,40,,3,8,1,192,2,,1,2,,,,2,,,,,,,4,,
10252,1,40,,39,35,1,36,2,,2,2,,,,2,,,,,,,,,
10254,1,8,2,34,23,1,3,2,,2,2,,,,1,32,96,,,,,,,
10255,4,,,,,,,,,,,,,3,1,18,384,1,1,3,2,,,
10258,4,,,,,,,,,,,,,1,1,40,36,,,,,,,
10260,1,8,2,40,5,3,12,2,,2,2,,,,2,,,,,,,,,
10261,1,30,2,22,36,1,24,2,,2,2,,,,1,16,60,,,,,,,
10262,4,,,,,,,,,,,,,3,1,11,216,2,,,,,,
10264,4,,,,,,,,,,,,,6,4,,,,,,,,,
10266,1,40,,20,34,1,120,2,,1,1,1,8,,2,,,,,,,,,
10267,2,,1,33,17,5,36,2,,2,2,,,,2,,,,,,,,,
10268,4,,,,,,,,,,,,,1,1,24,72,2,,,,,,
10269,1,40,,20,28,1,360,1,2,1,1,1,15,,2,,,,,,,,,
10271,2,,1,40,5,3,12,2,,,1,2,,,2,,,,,,,4,,
10273,4,,,,,,,,,,,,,3,1,10,480,2,,,,,,
10274,1,41,,42,8,1,4,2,,,2,,,,1,21,24,,,,,,,
10277,1,35,,30,1,1,204,2,,,2,,,,2,,,,,,,,,
10280,1,12,2,27,19,1,0,1,2,2,2,,,,1,23,24,,,,,,,
10282,1,50,,31,18,1,24,2,,,1,2,,,1,16,180,,2,,,,,
10284,4,,,,,,,,,,,,,2,1,39,24,2,,,,,,
10288,4,,,,,,,,,,,,,6,1,9,12,2,,,,,,
10289,1,40,,39,5,3,36,2,,2,2,,,,1,11,84,,,,,,,
10291,1,8,2,40,6,1,12,2,,2,2,,,,2,,,,,,,,,
10292,1,22,2,41,5,1,6,2,,2,2,,,,2,,,,,,,,,
10293,1,60,,4,40,1,4,2,,2,2,,,,2,,,,,,,,,
10294,4,,,,,,,,,,,,,1,1,37,12,1,1,10,1,4,,
10295,4,,,,,,,,,,,,,1,4,,,,,,,,,
10296,1,35,,40,5,3,72,2,,2,1,2,,,2,,,,,,,,,
10297,1,35,,41,19,1,6,1,1,2,2,,,,1,11,8,,,,,,,
10300,1,26,2,11,31,1,9,2,,1,2,,,,2,,,,,,,,,
10302,1,48,,15,15,1,24,1,8,1,1,1,8,,1,31,96,,2,,,,,
10304,4,,,,,,,,,,,,,3,1,33,108,1,1,8,2,,,
10306,1,50,,13,1,1,444,2,,2,1,2,,,2,,,,,,,,,
10307,4,,,,,,,,,,,,,3,1,22,240,2,,,,,,
10308,1,60,,17,1,5,48,1,10,,1,2,,,2,,,,,,,,,
10311,4,,,,,,,,,,,,,3,1,30,600,1,1,8,1,,,
10312,1,44,,21,15,1,6,2,,2,1,2,,,2,,,,,,,,,
10313,4,,,,,,,,,,,,,1,1,16,60,1,1,10,2,,,
10314,1,42,,17,35,1,6,2,,,2,,,,1,38,24,,,,,,,
10315,1,44,,3,36,1,108,2,,1,1,1,12,,2,,,,,,,,,
10316,1,40,,18,35,1,144,2,,2,2,,,,2,,,,,,,,,
10317,1,48,,31,1,5,156,2,,,2,,,,2,,,,,,,,,
10319,1,20,2,39,14,1,6,2,,,2,,,,1,22,168,,,,,,,
10320,1,27,2,40,14,4,108,2,,,2,,,,1,12,180,,,,,,,
10321,1,55,,4,1,5,300,2,,,2,,,,2,,,,,,,,,
10322,1,50,,27,21,1,36,2,,2,2,,,,2,,,,,,,,,
10323,4,,,,,,,,,,,,,1,4,,,,,,,,,
10324,1,40,,43,16,4,9,2,,2,2,,,,2,,,,,,,,,
10326,4,,,,,,,,,,,,,1,4,,,,,,,,,
10328,1,10,2,33,17,5,120,2,,,2,,,,2,,,,,,,,,
10330,4,,,,,,,,,,,,,1,4,,,,,,,,,
10332,1,36,,8,31,1,420,2,,1,1,1,1,,2,,,,,,,,,
10333,4,,,,,,,,,,,,,3,1,12,600,2,,,,,,
10335,1,40,,36,1,5,96,1,2,1,1,1,4,,1,33,144,,1,8,2,,,
10336,1,40,,20,8,3,3,2,,,1,1,1,,2,,,,,,,,,
10337,4,,,,,,,,,,,,,1,1,20,5,,,,,,,
10338,4,,,,,,,,,,,,,3,1,35,324,1,2,,,,,
10339,1,48,,22,26,1,6,2,,2,1,1,8,,1,30,24,,2,,,,,
10343,4,,,,,,,,,,,,,2,4,,,,,,,,,
10344,1,40,,40,14,3,5,2,,,2,,,,1,2,36,,,,,,,
10346,1,40,,4,36,1,3,2,,1,1,1,8,,2,,,,,,,,,
10347,1,26,1,38,1,3,36,2,,,2,,,,1,1,144,,,,,,,
10348,4,,,,,,,,,,,,,3,1,40,216,1,1,8,1,,,
10352,1,60,,28,11,1,36,1,6,2,2,,,,1,25,432,,,,,,,
10354,1,20,1,44,16,2,84,2,,2,2,,,,2,,,,,,,,,
10357,1,22,2,39,22,1,60,2,,2,2,,,,2,,,,,,,,,
10358,1,10,2,32,34,5,360,2,,2,2,,,,2,,,,,,,,,
10359,1,20,2,27,19,1,24,2,,2,2,,,,2,,,,,,,,,
10361,4,,,,,,,,,,,,,4,1,34,96,1,1,7,1,,,
10362,1,40,,24,9,1,36,2,,,2,,,,1,24,132,,,,,,,
10363,4,,,,,,,,,,,,,1,1,11,72,,,,,,,
10364,4,,,,,,,,,,,,,3,1,16,300,1,2,,,,,
10365,1,40,,44,35,4,180,1,8,,2,,,,2,,,,,,,,,
10366,1,22,2,4,30,1,300,2,,2,1,1,8,,2,,,,,,,4,,
10367,7,,,,,,,,,,,,,,7,,77777,7,,,,,,
10370,2,,2,36,7,3,0,2,,,2,,,,1,19,17,,,,,,,
10373,1,36,,16,34,1,300,2,,1,1,1,12,,2,,,,,,,,,
10374,4,,,,,,,,,,,,,3,1,11,72,,,,,,,
10375,4,,,,,,,,,,,,,3,1,11,552,2,,,,,,
10376,1,35,,40,11,1,14,2,,2,2,,,,1,23,18,,,,,2,,
10377,4,,,,,,,,,,,,,3,1,5,276,2,,,,,,
10378,1,40,,12,30,1,27,1,1,2,1,1,8,,2,,,,,,,,,
10379,1,60,,39,23,3,48,1,1,2,2,,,,2,,,,,,,,,
10380,1,50,,18,28,1,168,1,1,1,1,1,8,,2,,,,,,,4,,
10381,4,,,,,,,,,,,,,4,1,14,60,2,,,,,,
10382,1,60,,37,4,1,168,2,,2,1,2,,,2,,,,,,,,,
10383,4,,,,,,,,,,,,,1,1,3,96,2,,,,,,
10384,1,35,,27,21,1,24,2,,2,1,1,7,,1,26,36,,,,,,,
10388,1,35,,42,1,5,60,2,,,2,,,,2,,,,,,,,,
10390,1,40,,40,7,5,96,2,,,2,,,,1,5,288,,,,,,,
10391,4,,,,,,,,,,,,,3,1,12,120,2,,,,,,
10392,4,,,,,,,,,,,,,1,1,12,36,2,,,,,,
10393,4,,,,,,,,,,,,,3,1,1,120,2,,,,,,
10396,1,43,,6,32,1,108,2,,2,1,1,8,,2,,,,,,,,,
10397,1,40,,27,21,1,0,2,,2,2,,,,1,21,5,,,,,,,
10398,4,,,,,,,,,,,,,3,1,2,216,2,,,,,,
10399,1,40,,5,33,1,6,2,,1,1,1,8,,2,,,,,,,,,
10401,3,,,,,,,,,,,,,,1,23,18,2,,,,,,
10404,1,42,,14,3,1,120,2,,2,2,,,,2,,,,,,,,,
10406,4,,,,,,,,,,,,,1,1,33,6,1,1,4,2,,,
10409,1,35,,23,11,1,0,2,,,2,,,,1,11,108,,,,,,,
10410,1,36,,18,15,1,24,1,1,2,2,,,,2,,,,,,,,,
10411,4,,,,,,,,,,,,,3,1,7,432,2,,,,,,
10413,1,45,,42,16,1,24,2,,,2,,,,1,2,120,,,,,,,
10415,4,,,,,,,,,,,,,3,1,12,228,2,,,,,,
10418,4,,,,,,,,,,,,,2,4,,,,,,,,,
10420,1,40,,28,11,1,1,1,1,,1,2,,,1,19,36,,2,,,,,
10421,4,,,,,,,,,,,,,2,4,,,,,,,,,
10422,4,,,,,,,,,,,,,3,4,,,,,,,,,
10424,3,,,,,,,,,,,,,,1,31,180,2,,,,,,
10425,1,40,,27,20,1,4,2,,2,2,,,,2,,,,,,,,,
10426,4,,,,,,,,,,,,,3,1,29,108,1,2,,,,,
10427,4,,,,,,,,,,,,,3,1,1,0,2,,,,,,
10428,1,25,1,37,22,1,10,2,,2,2,,,,2,,,,,,,,,
10429,1,40,,19,29,1,288,1,1,2,1,2,,,2,,,,,,,,,
10433,4,,,,,,,,,,,,,3,1,20,108,2,,,,,,
10434,1,30,1,4,30,5,36,1,8,2,2,,,,2,,,,,,,4,,
10436,1,48,,18,16,2,336,2,,,2,,,,2,,,,,,,,,
10437,4,,,,,,,,,,,,,3,1,16,324,2,,,,,,
10438,1,38,,24,9,1,48,2,,2,2,,,,2,,,,,,,4,,
10440,1,40,,16,34,1,0,1,5,2,1,2,,,1,30,120,,2,,,,,
10441,4,,,,,,,,,,,,,7,1,37,12,1,1,4,2,,,
10442,4,,,,,,,,,,,,,3,1,32,120,1,1,8,2,,,
10443,1,90,,18,35,2,384,2,,2,2,,,,2,,,,,,,,,
10444,1,40,,1,26,1,6,2,,2,2,,,,2,,,,,,,,,
10445,4,,,,,,,,,,,,,1,1,31,60,2,,,,,,
10446,4,,,,,,,,,,,,,2,1,16,12,2,,,,,,
10447,4,,,,,,,,,,,,,3,1,1,384,2,,,,,,
10448,4,,,,,,,,,,,,,3,1,16,84,2,,,,,,
10449,1,40,,12,33,1,108,2,,,1,1,8,,2,,,,,,,,,
10451,4,,,,,,,,,,,,,6,1,17,24,2,,,,,,
10453,4,,,,,,,,,,,,,3,1,17,99999,2,,,,,,
10454,4,,,,,,,,,,,,,3,1,11,120,,,,,,,
10455,4,,,,,,,,,,,,,2,4,,,,,,,,,
10457,1,40,,10,40,1,4,1,3,1,1,1,6,,1,39,18,,2,,,,,
10459,4,,,,,,,,,,,,,6,1,24,480,2,,,,,,
10461,1,40,,4,30,1,24,2,,1,1,2,,,2,,,,,,,,,
10462,4,,,,,,,,,,,,,3,1,31,420,2,,,,,,
10463,1,48,,22,39,1,240,2,,2,2,,,,2,,,,,,,,,
10464,1,40,,27,19,1,60,2,,2,2,,,,2,,,,,,,,,
10465,4,,,,,,,,,,,,,1,4,,,,,,,,,
10468,4,,,,,,,,,,,,,7,1,16,2,2,,,,,,
10471,1,80,,1,25,5,120,2,,1,1,1,6,,2,,,,,,,,,
10474,1,40,,44,8,5,6,2,,2,2,,,,2,,,,,,,,,
10476,4,,,,,,,,,,,,,2,4,,,,,,,,,
10477,1,72,,40,3,3,6,2,,2,2,,,,2,,,,,,,,,
10479,4,,,,,,,,,,,,,1,4,,,,,,,,,
10480,4,,,,,,,,,,,,,2,4,,,,,,,,,
10481,4,,,,,,,,,,,,,1,1,14,84,2,,,,,,
10483,4,,,,,,,,,,,,,7,1,33,84,2,,,,,,
10486,4,,,,,,,,,,,,,3,1,30,240,2,,,,,,
10488,1,40,,34,23,1,24,1,2,2,1,2,,,1,29,60,,1,4,1,,,
10489,4,,,,,,,,,,,,,3,1,38,6,1,1,4,2,,,
10490,4,,,,,,,,,,,,,2,1,23,3,2,,,,4,,
10491,4,,,,,,,,,,,,,7,1,11,24,2,,,,4,,
10492,1,5,2,40,6,5,60,2,,2,2,,,,2,,,,,,,,,
10494,4,,,,,,,,,,,,,3,1,2,240,2,,,,,,
10495,1,8,2,34,13,1,8,2,,,2,,,,1,5,132,,,,,,,
10496,3,,,,,,,,,,,,,,1,16,192,2,,,,,,
10497,4,,,,,,,,,,,,,2,1,19,12,1,1,8,2,4,,
10499,4,,,,,,,,,,,,,1,4,,,,,,,,,
10500,1,5,2,27,21,1,0,2,,2,2,,,,2,,,,,,,,,
10502,1,40,,5,21,1,48,2,,,1,1,8,,2,,,,,,,,,
10504,4,,,,,,,,,,,,,4,1,26,24,2,,,,,,
10506,1,55,,27,20,1,72,2,,2,1,1,11,,2,,,,,,,,,
10509,4,,,,,,,,,,,,,1,1,23,2,,,,,,,
10514,1,55,,41,24,5,192,2,,2,2,,,,2,,,,,,,,,
10516,4,,,,,,,,,,,,,2,1,30,3,2,,,,,,
10517,4,,,,,,,,,,,,,3,1,8,276,2,,,,,,
10518,4,,,,,,,,,,,,,6,1,1,99999,2,,,,,,
10519,1,10,2,31,23,5,240,2,,2,1,2,,,2,,,,,,,,,
10520,1,40,,41,22,3,60,2,,2,1,2,,,2,,,,,,,,,
10521,4,,,,,,,,,,,,,2,4,,,,,,,,,
10522,4,,,,,,,,,,,,,3,1,28,528,2,,,,,,
