"SEQN","ACD010A","ACD010B","ACD010C","ACQ020","ACQ030","ACD040","ACQ050","ACQ060","ACD070","ACD080"
10487,,,,3,3,3,3,3,1,4
10488,,,,4,4,5,5,5,1,1
10489,,,,3,3,3,3,3,1,1
10490,1,,,,,,,,,
10491,1,,,,,,,,,
10492,1,,,,,,,,,
10494,1,,,,,,,,,
10495,,,,3,3,3,3,3,1,1
10496,1,,,,,,,,,
10497,1,,3,,,,,,,
10499,,,,5,5,5,5,5,1,1
10500,,,,5,5,5,5,5,5,5
10502,,,,1,1,1,1,1,4,4
10504,,,,4,4,2,4,2,1,4
10506,,,,1,1,1,1,1,4,4
10509,,,,1,1,1,1,1,4,4
10510,,,,5,5,5,5,5,1,1
10514,1,,,,,,,,,
10516,,,,4,5,5,5,4,1,1
10517,1,,,,,,,,,
10518,,,,1,1,1,1,1,2,2
10519,,,,3,2,5,5,5,4,4
10520,1,,,,,,,,,
10521,1,,,,,,,,,
10522,1,,,,,,,,,
10523,1,,,,,,,,,
10524,1,,,,,,,,,
10526,1,,,,,,,,,
10527,,,,2,1,1,2,1,5,4
10528,,,,3,3,3,3,3,4,4
10529,,,,1,1,1,1,1,4,4
10530,,,,4,4,4,5,4,4,1
10533,,,,3,1,2,3,3,4,4
10534,,,,2,9,3,9,1,99,99
10537,1,,,,,,,,,
10539,,,3,,,,,,,
10541,1,,,,,,,,,
10542,1,,,,,,,,,
10543,1,,,,,,,,,
10545,,,,3,1,2,2,2,2,2
10546,1,,,,,,,,,
10547,1,,3,,,,,,,
10548,1,,,,,,,,,
10550,1,,,,,,,,,
10551,1,,,,,,,,,
10552,1,,,,,,,,,
10556,1,,,,,,,,,
10557,,,,5,2,4,2,5,4,1
10561,1,,,,,,,,,
10562,,,,3,1,2,3,3,4,4
10563,1,,,,,,,,,
10566,1,,,,,,,,,
10568,1,,,,,,,,,
10569,1,,,,,,,,,
10573,1,,,,,,,,,
10574,1,,,,,,,,,
10576,1,,,,,,,,,
10577,1,,,,,,,,,
10579,1,,,,,,,,,
10581,1,,,,,,,,,
10582,,,,1,1,1,1,1,5,5
10583,1,,,,,,,,,
10585,1,,,,,,,,,
10586,1,,,,,,,,,
10587,1,,,,,,,,,
10589,,,,5,5,5,5,5,1,1
10590,1,,,,,,,,,
10591,1,,,,,,,,,
10592,1,,,,,,,,,
10593,,,,5,5,5,5,5,1,1
10595,1,,,,,,,,,
10596,,,,2,1,4,4,5,4,4
10597,,,,4,2,2,3,3,1,1
10599,,,,5,5,5,5,5,1,1
10600,,,,5,5,5,5,5,1,1
10601,1,,,,,,,,,
10602,,,3,,,,,,,
10606,1,,,,,,,,,
10607,,,,5,4,5,5,3,1,1
10608,1,,,,,,,,,
10610,1,,,,,,,,,
10611,,,,3,1,2,3,3,4,4
10612,,,,5,5,5,5,5,1,1
10613,1,,3,,,,,,,
10614,,,,5,5,5,5,5,1,1
10615,1,,,,,,,,,
10617,1,,,,,,,,,
10619,1,,,,,,,,,
10620,1,,,,,,,,,
10621,1,,,,,,,,,
10623,1,,,,,,,,,
10624,1,,,,,,,,,
10625,,,,1,1,1,1,1,4,4
10626,1,,,,,,,,,
10627,1,,,,,,,,,
10628,1,,,,,,,,,
10630,,,,1,1,1,1,1,4,4
10631,1,,,,,,,,,
10632,,,,2,3,2,3,2,1,1
10633,1,,,,,,,,,
10635,,,3,,,,,,,
10636,1,,,,,,,,,
10638,1,,,,,,,,,
10640,1,,,,,,,,,
10641,,,,1,1,1,1,3,4,4
10642,1,,,,,,,,,
10644,1,,,,,,,,,
10647,1,,,,,,,,,
10648,1,,,,,,,,,
10649,,,,3,3,3,3,4,4,5
10650,1,,,,,,,,,
10651,1,,,,,,,,,
10653,,,,1,1,1,1,1,4,4
10654,1,,,,,,,,,
10655,,,,1,1,1,1,1,4,4
10656,1,,,,,,,,,
10657,1,,,,,,,,,
10659,1,,,,,,,,,
10660,1,,,,,,,,,
10661,,,,4,1,5,5,5,1,1
10663,1,,,,,,,,,
10664,1,,,,,,,,,
10666,1,,,,,,,,,
10668,1,,,,,,,,,
10669,1,,,,,,,,,
10670,1,,,,,,,,,
10671,1,,,,,,,,,
10675,1,,,,,,,,,
10676,1,,,,,,,,,
10677,,,,4,4,4,4,4,4,1
10678,1,,,,,,,,,
10679,,,,2,1,2,2,2,4,4
10680,1,,,,,,,,,
10682,1,,,,,,,,,
10683,1,,,,,,,,,
10684,1,,,,,,,,,
10685,,,,1,1,1,1,1,4,4
10686,1,,,,,,,,,
10687,1,,,,,,,,,
10689,1,,,,,,,,,
10690,,,,1,1,1,1,1,4,4
10694,,,,3,4,3,4,5,1,4
10695,1,,,,,,,,,
10697,1,,,,,,,,,
10698,1,,,,,,,,,
10699,1,,,,,,,,,
10700,,,,5,4,5,5,5,1,1
10701,1,,,,,,,,,
10702,1,,,,,,,,,
10703,1,,,,,,,,,
10704,,,,3,3,3,3,3,1,1
10705,1,,,,,,,,,
10706,,,,4,3,4,5,4,4,4
10707,,,,4,5,5,4,5,1,1
10708,1,,,,,,,,,
10710,,,,4,1,4,4,4,1,4
10711,1,,,,,,,,,
10712,1,,,,,,,,,
10713,1,,,,,,,,,
10714,1,,,,,,,,,
10715,,,,2,2,1,1,3,4,4
10716,1,,,,,,,,,
10718,1,,,,,,,,,
10719,1,,,,,,,,,
10720,1,,,,,,,,,
10721,1,,,,,,,,,
10723,,,,4,4,4,5,5,4,4
10724,,,,5,5,5,5,5,4,4
10725,1,,,,,,,,,
10726,1,,,,,,,,,
10727,1,,,,,,,,,
10728,1,,,,,,,,,
10731,1,,,,,,,,,
10732,1,,,,,,,,,
10734,1,,,,,,,,,
10735,1,,,,,,,,,
10736,1,,,,,,,,,
10737,,,,3,3,3,4,5,4,4
10738,1,,,,,,,,,
10739,1,,,,,,,,,
10741,,,,1,1,1,1,1,4,4
10743,1,,,,,,,,,
10744,,,,3,1,3,3,2,4,4
10745,,,,4,2,4,4,4,4,1
10747,1,,3,,,,,,,
10752,,,3,,,,,,,
10756,1,,,,,,,,,
10760,1,,,,,,,,,
10761,,,,1,1,1,1,1,4,4
10762,1,,,,,,,,,
10763,1,,,,,,,,,
10765,1,,,,,,,,,
10768,1,,,,,,,,,
10769,,,,4,1,2,4,3,4,4
10770,1,,,,,,,,,
10772,1,,,,,,,,,
10773,,,,2,1,3,3,3,4,4
10775,1,,,,,,,,,
10777,1,,,,,,,,,
10778,,,,4,5,5,5,5,1,1
10780,1,,,,,,,,,
10781,1,,,,,,,,,
10782,1,,,,,,,,,
10783,1,,,,,,,,,
10785,1,,,,,,,,,
10786,1,,,,,,,,,
10787,,,,4,4,5,5,5,1,1
10788,,,,2,1,1,2,2,4,4
10789,1,,,,,,,,,
10790,1,,,,,,,,,
10791,1,,,,,,,,,
10793,1,,,,,,,,,
10795,,,,4,4,5,5,5,4,1
10796,,,,3,1,1,4,4,4,4
10797,1,,,,,,,,,
10798,1,,,,,,,,,
10800,,,,5,5,5,5,5,1,1
10802,1,,,,,,,,,
10804,1,,,,,,,,,
10805,1,,,,,,,,,
10806,1,,,,,,,,,
10807,1,,,,,,,,,
10809,1,,,,,,,,,
10810,1,,,,,,,,,
10811,1,,,,,,,,,
10812,1,,,,,,,,,
10814,1,,,,,,,,,
10815,,,,2,1,1,4,2,5,5
10818,,,,1,1,1,1,1,4,4
10819,1,,,,,,,,,
10820,1,,,,,,,,,
10821,1,,,,,,,,,
10824,1,,,,,,,,,
10826,,,,3,1,1,3,5,4,4
10827,,,,4,4,5,5,4,4,4
10828,,,,3,2,3,3,4,4,4
10829,1,,,,,,,,,
10830,1,,,,,,,,,
10831,1,,,,,,,,,
10832,1,,,,,,,,,
10833,1,,,,,,,,,
10835,1,,,,,,,,,
10838,1,,,,,,,,,
10839,,,,4,4,4,4,4,1,1
10840,1,,,,,,,,,
10842,1,,,,,,,,,
10844,1,,,,,,,,,
10845,1,,,,,,,,,
10846,,,,4,3,4,3,3,4,1
10847,,,,1,1,1,1,1,2,2
10848,1,,,,,,,,,
10849,1,,,,,,,,,
10853,,,,4,1,4,5,5,4,4
10854,1,,,,,,,,,
10855,1,,,,,,,,,
10856,1,,,,,,,,,
10859,,,,4,2,3,5,5,4,1
10861,1,,,,,,,,,
10862,,,,5,5,5,4,5,1,1
10864,,,,1,1,1,1,1,4,4
10866,1,,,,,,,,,
10869,1,,,,,,,,,
10871,,,,3,1,5,3,3,4,4
10872,1,,,,,,,,,
10873,,,3,,,,,,,
10874,1,,,,,,,,,
10876,,,,2,1,2,2,3,5,5
10877,,,,1,1,1,1,1,4,4
10878,1,,,,,,,,,
10879,1,,,,,,,,,
10880,,,,4,1,5,5,5,4,4
10883,1,,,,,,,,,
10884,1,,,,,,,,,
10885,1,,,,,,,,,
10886,1,,,,,,,,,
10887,,,,4,1,5,5,4,1,1
10888,1,,,,,,,,,
10890,1,,,,,,,,,
10892,1,,,,,,,,,
10893,,,,4,4,5,5,5,2,2
10895,1,,,,,,,,,
10896,,,,4,2,4,5,5,4,1
10897,,,,2,1,1,1,1,4,4
10898,1,,,,,,,,,
10899,,,,3,2,2,3,5,1,4
10900,,,,5,5,5,5,5,1,1
10901,1,,,,,,,,,
10903,,,,2,1,1,1,2,4,1
10905,,,,1,1,1,1,1,4,4
10906,1,,,,,,,,,
10907,1,,,,,,,,,
10908,1,,,,,,,,,
10911,,,,2,1,3,4,3,99,2
10912,1,,,,,,,,,
10913,1,,,,,,,,,
