"SEQN","HOQ011","HOD030","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOQ230","HOQ240","HOQ250","HOQ260A","HOQ260B","HOQ260C","HOQ270","HOQ280A","HOQ280B","HOQ280C"
31369,1,,1,9,1,1,1,2,2,2,2,,,,2,,,
31370,2,,4,4,5,2,1,2,2,2,2,,,,2,,,
31371,3,,6,6,5,1,1,1,2,1,2,,,,2,,,
31372,3,,1,4,2,2,1,2,2,2,2,,,,2,,,
31373,2,,99,6,4,1,1,2,2,2,2,,,,2,,,
31374,2,,3,5,1,2,1,2,2,2,2,,,,1,1,,
31375,4,7,99,2,2,1,1,2,1,1,1,1,,,,,,
31376,2,,4,4,2,1,1,2,1,2,1,1,,,,,,
31377,2,,3,10,2,1,1,2,2,2,1,,2,,,,,
31378,2,,3,5,5,1,1,1,2,2,2,,,,2,,,
31379,4,3,99,3,3,2,1,2,2,2,2,,,,2,,,
31380,2,,99,7,1,1,1,2,2,2,2,,,,2,,,
31381,2,,6,8,4,1,2,2,1,2,1,1,,,,,,
31382,2,,1,6,4,1,1,2,2,2,1,,2,,,,,
31383,2,,3,6,2,2,1,2,1,2,2,,,,1,1,,
31384,2,,3,6,2,1,1,1,2,2,1,1,2,,,,,
31385,2,,3,10,5,1,1,2,2,2,2,,,,2,,,
31386,2,,1,6,2,2,1,1,1,2,1,1,,,,,,
31387,4,5,99,6,1,2,1,2,1,1,2,,,,2,,,
31388,2,,6,8,4,1,2,2,2,2,1,1,,,,,,
31389,2,,5,5,5,1,1,2,1,2,2,,,,2,,,
31390,3,,1,5,1,2,1,1,2,2,1,1,,,,,,
31391,1,,2,3,5,1,1,2,2,2,2,,,,2,,,
31392,2,,1,7,4,1,1,2,2,2,1,1,2,,,,,
31393,3,,99,5,1,2,1,2,2,2,2,,,,2,,,
31394,4,5,99,4,1,2,1,2,2,2,2,,,,2,,,
31395,2,,99,5,3,2,1,2,2,2,2,,,,2,,,
31396,3,,6,4,4,2,1,1,2,2,1,1,,,,,,
31397,2,,1,8,1,1,1,2,2,2,2,,,,2,,,
31398,3,,4,6,1,2,1,2,2,2,2,,,,2,,,
31399,2,,2,9,5,1,2,2,1,2,1,1,2,,,,,
31400,3,,2,6,2,3,1,9,2,2,2,,,,2,,,
31401,2,,3,7,1,1,1,1,2,2,1,1,2,,,,,
31402,2,,3,5,2,2,1,2,2,2,2,,,,2,,,
31403,2,,99,6,1,1,1,2,2,2,2,,,,2,,,
31404,2,,3,7,3,1,1,2,2,1,2,,,,2,,,
31405,2,,99,5,1,1,1,1,2,2,2,,,,2,,,
31406,3,,6,6,2,2,1,2,2,2,1,1,,,,,,
31407,2,,1,10,5,1,1,2,2,2,2,,,,2,,,
31408,4,4,4,6,3,2,1,2,2,2,2,,,,2,,,
31409,2,,1,9,3,1,1,1,2,2,2,,,,2,,,
31410,2,,2,11,2,1,1,1,1,1,1,,,3,,,,
31411,4,4,99,3,2,2,1,2,2,1,2,,,,1,1,,
31412,1,,1,5,2,1,1,2,2,1,2,,,,2,,,
31413,2,,2,8,3,1,1,2,1,2,1,1,2,,,,,
31414,2,,1,6,2,1,1,2,2,2,2,,,,2,,,
31415,2,,1,3,1,2,1,2,2,2,2,,,,2,,,
31416,2,,1,5,3,1,2,1,2,2,1,1,2,,,,,
31417,2,,99,12,2,1,1,2,2,1,1,,2,,,,,
31418,2,,4,5,4,1,1,2,2,2,2,,,,2,,,
31419,4,3,99,4,1,2,1,2,2,2,2,,,,2,,,
31420,4,4,99,4,2,2,1,2,2,2,2,,,,2,,,
31421,4,5,99,4,1,2,1,2,2,2,2,,,,2,,,
31422,2,,1,10,4,1,1,2,2,1,2,,,,2,,,
31423,2,,1,6,4,1,1,2,2,2,2,,,,2,,,
31424,4,1,99,4,1,2,9,2,2,1,2,,,,2,,,
31425,2,,3,6,5,1,2,1,2,2,2,,,,1,1,,
31426,2,,99,6,4,1,1,1,9,2,1,1,,,,,,
31427,2,,99,6,3,2,1,2,2,1,2,,,,2,,,
31428,2,,3,7,5,1,1,2,2,2,2,,,,2,,,
31429,2,,3,10,4,1,1,2,2,1,2,,,,2,,,
31430,3,,99,3,1,2,1,1,2,2,1,,2,,,,,
31431,,,,,,,,,,,,,,,,,,
31432,2,,1,13,4,1,2,2,2,2,1,1,,,,,,
31433,4,6,2,5,1,2,1,1,2,2,1,,2,,,,,
31434,2,,2,8,5,1,1,2,2,2,2,,,,2,,,
31435,4,4,99,5,1,2,1,2,2,2,2,,,,2,,,
31436,3,,1,9,3,1,1,2,2,2,1,1,,,,,,
31437,1,,2,5,4,1,2,1,2,2,2,,,,2,,,
31438,2,,6,7,5,1,2,2,1,2,1,1,2,3,,,,
31439,2,,6,6,2,1,1,2,2,2,1,,2,,,,,
31440,3,,4,3,1,2,1,2,2,1,2,,,,2,,,
31441,2,,4,5,5,1,1,2,2,1,2,,,,2,,,
31442,2,,5,6,3,1,1,2,2,2,2,,,,2,,,
31443,2,,5,7,4,1,1,1,1,1,2,,,,2,,,
31444,2,,1,5,3,1,2,1,2,2,1,1,,,,,,
31445,4,3,99,2,1,2,1,1,2,1,2,,,,2,,,
31446,2,,1,10,4,1,2,1,2,2,1,1,,,,,,
31447,1,,3,4,3,1,1,2,2,2,2,,,,2,,,
31448,2,,3,5,4,1,1,1,2,1,2,,,,2,,,
31449,3,,2,8,5,1,1,2,2,2,1,,2,,,,,
31450,1,,1,4,4,1,2,2,2,2,2,,,,2,,,
31451,3,,99,4,2,2,1,2,1,2,2,,,,2,,,
31452,2,,1,6,2,1,1,2,2,2,2,,,,2,,,
31453,1,,1,7,5,3,1,2,2,2,2,,,,1,1,,
31454,4,3,99,4,1,2,1,2,2,1,2,,,,2,,,
31455,2,,1,8,3,1,1,2,2,2,1,1,,,,,,
31456,2,,5,8,3,1,1,2,1,1,1,1,2,,,,,
31457,3,,3,3,1,2,1,1,2,2,2,,,,2,,,
31458,2,,6,6,5,1,1,2,2,1,1,1,,,,,,
31459,2,,1,6,3,1,1,1,2,2,2,,,,2,,,
31460,4,3,99,4,1,2,1,2,2,1,1,,2,,,,,
31461,2,,99,6,2,1,1,2,2,1,2,,,,2,,,
31462,3,,99,6,2,2,1,2,2,1,2,,,,2,,,
31463,2,,3,4,5,1,1,2,1,2,2,,,,2,,,
31464,2,,5,6,5,1,1,2,2,2,1,1,,,,,,
31465,2,,4,6,2,2,1,2,2,2,2,,,,2,,,
31466,6,,1,1,1,3,1,2,2,2,2,,,,2,,,
31467,3,,3,4,1,2,1,2,1,2,2,,,,2,,,
31468,2,,4,7,5,1,1,2,2,2,2,,,,1,1,,
31469,2,,3,10,5,1,1,1,2,2,2,,,,2,,,
31470,1,,1,4,2,1,1,2,2,1,1,1,,,,,,
31471,3,,2,5,1,2,3,2,2,1,2,,,,2,,,
31472,4,3,2,4,1,2,2,2,2,2,2,,,,1,1,2,
31473,3,,99,4,3,2,1,2,1,1,2,,,,2,,,
31474,2,,2,8,2,2,1,2,2,2,2,,,,2,,,
31475,2,,1,7,4,1,1,1,2,2,2,,,,2,,,
31476,2,,99,6,1,2,1,1,2,2,2,,,,2,,,
31477,4,4,99,4,2,2,1,2,2,1,2,,,,2,,,
