"SEQN","OCD150","OCQ180","OCQ210","OCQ260","OCD270","OCQ670","OCQ380","OCD390G","OCD395"
94879,1,40,,1,24,5,,2,
94880,4,,,,,,1,1,12
94882,1,40,,1,120,1,,2,
94883,1,40,,2,60,3,,1,120
94885,3,,,,,,,1,192
94886,1,16,2,1,1,1,,2,
94887,4,,,,,,3,1,192
94889,4,,,,,,1,1,24
94890,1,40,,1,84,2,,2,
94891,1,40,,2,108,1,,1,120
94892,4,,,,,,6,1,300
94893,1,65,,1,276,1,,2,
94894,1,50,,1,216,1,,2,
94895,4,,,,,,2,1,24
94896,1,40,,1,3,3,,1,60
94898,4,,,,,,3,1,96
94899,1,35,,1,108,1,,2,
94902,4,,,,,,3,1,180
94903,1,50,,1,24,3,,2,
94905,3,,,,,,,1,6
94906,1,63,,1,228,5,,2,
94907,1,10,2,5,120,5,,2,
94908,1,56,,1,144,2,,2,
94909,1,72,,1,72,2,,1,300
94910,1,55,,3,3,3,,2,
94914,4,,,,,,2,4,
94916,3,,,,,,,1,48
94918,1,30,2,1,6,1,,1,240
94920,4,,,,,,6,1,168
94921,1,40,,1,18,2,,1,336
94922,4,,,,,,3,1,480
94924,3,,,,,,,1,72
94926,1,44,,1,36,1,,1,84
94927,1,32,1,5,72,5,,2,
94929,4,,,,,,3,1,360
94930,1,80,,1,3,3,,1,372
94931,4,,,,,,3,1,120
94932,1,70,,5,72,5,,2,
94933,4,,,,,,1,1,48
94935,1,37,,1,21,5,,1,120
94936,1,40,,2,36,2,,2,
94937,4,,,,,,6,1,120
94938,1,40,,1,36,1,,2,
94939,1,30,1,1,180,5,,2,
94940,4,,,,,,6,1,132
94941,1,40,,3,29,2,,1,48
94944,1,16,2,1,18,3,,2,
94945,1,23,2,1,24,1,,2,
94946,3,,,,,,,1,12
94950,4,,,,,,3,1,9
94952,4,,,,,,3,1,96
94953,4,,,,,,6,1,120
94954,1,55,,5,17,5,,1,48
94955,4,,,,,,3,1,360
94957,1,54,,1,24,1,,2,
94958,1,40,,1,240,1,,2,
94959,1,40,,1,108,1,,3,252
94960,1,20,2,5,12,5,,2,
94962,1,70,,1,48,1,,2,
94963,1,70,,1,60,5,,2,
94964,1,38,,1,96,5,,2,
94966,4,,,,,,6,1,180
94967,1,60,,4,168,1,,2,
94968,1,20,2,1,12,1,,1,24
94969,4,,,,,,3,1,540
94970,1,30,1,5,12,5,,1,180
94972,4,,,,,,7,1,14
94973,4,,,,,,4,4,
94975,1,60,,4,48,5,,1,120
94977,4,,,,,,3,1,420
94979,4,,,,,,3,1,360
94980,4,,,,,,6,1,168
94982,1,56,,5,36,1,,1,60
94983,4,,,,,,2,1,5
94984,4,,,,,,6,1,240
94986,1,64,,1,132,5,,1,132
94987,4,,,,,,3,1,480
94988,4,,,,,,3,1,300
94989,4,,,,,,6,1,60
94990,3,,,,,,,1,84
94991,1,40,,1,72,5,,2,
94993,4,,,,,,3,1,432
94994,4,,,,,,2,1,24
94995,1,9,2,1,2,5,,1,120
94996,1,32,2,5,240,1,,2,
94997,1,40,,1,36,3,,2,
94998,1,40,,1,12,1,,1,84
95000,4,,,,,,1,4,
95001,4,,,,,,3,1,60
95002,1,40,,1,20,2,,2,
95004,4,,,,,,3,1,360
95005,4,,,,,,6,1,144
95007,4,,,,,,3,1,480
95011,4,,,,,,3,1,384
95013,1,52,,1,384,5,,2,
95014,4,,,,,,4,1,144
95016,1,25,2,5,228,5,,2,
95019,1,55,,5,48,5,,1,48
95020,4,,,,,,3,1,360
95022,4,,,,,,2,1,36
95024,1,38,,1,6,1,,1,8
95025,1,48,,1,156,5,,2,
95026,4,,,,,,2,1,36
95027,4,,,,,,3,4,
95028,4,,,,,,6,4,
95029,1,24,1,2,36,1,,1,180
95030,4,,,,,,3,1,360
95031,1,30,1,6,204,1,,1,60
95033,4,,,,,,1,1,24
95034,1,40,,1,108,5,,2,
95035,1,42,,1,1,1,,1,84
95036,1,40,,1,300,1,,1,420
95037,1,30,2,1,8,2,,1,36
95039,1,7,2,5,3,5,,1,24
95040,4,,,,,,4,1,84
95041,4,,,,,,3,1,216
95042,4,,,,,,1,1,24
95043,4,,,,,,3,1,36
95044,4,,,,,,3,1,240
95045,4,,,,,,3,1,360
95046,4,,,,,,7,1,120
95047,1,40,,5,60,5,,1,288
95048,1,80,,5,36,5,,2,
95051,1,46,,1,48,5,,1,204
95052,4,,,,,,7,4,
95053,4,,,,,,6,1,24
95054,4,,,,,,2,4,
95055,1,50,,1,0,3,,2,
95056,1,36,,1,3,2,,2,
95057,4,,,,,,3,1,540
95058,4,,,,,,4,1,24
95059,4,,,,,,6,1,384
95060,4,,,,,,1,1,24
95061,1,40,,1,8,1,,1,72
95062,4,,,,,,6,1,300
95063,4,,,,,,1,1,36
95064,1,28,2,1,36,3,,2,
95065,3,,,,,,,1,6
95066,4,,,,,,3,1,60
95067,1,45,,1,204,1,,2,
95068,4,,,,,,3,1,180
95069,1,40,,1,1,1,,2,
95070,4,,,,,,3,1,96
95071,4,,,,,,4,4,
95072,4,,,,,,2,4,
95073,4,,,,,,3,1,192
95074,1,30,2,1,9,5,,2,
95075,3,,,,,,,1,480
95076,1,40,,1,6,1,,2,
95077,1,40,,1,108,1,,1,120
95080,1,40,,1,24,5,,1,48
95082,4,,,,,,3,1,444
95083,1,40,,1,24,1,,1,60
95088,1,42,,1,36,1,,1,108
95089,1,40,,1,3,2,,1,24
95090,4,,,,,,2,4,
95091,4,,,,,,6,1,168
95093,1,40,,1,216,5,,2,
95094,1,40,,1,6,3,,1,36
95095,4,,,,,,3,1,480
95096,1,32,1,1,24,2,,2,
95097,1,30,2,5,216,1,,1,276
95098,4,,,,,,3,1,540
95099,4,,,,,,3,1,72
95100,1,5,2,4,12,5,,2,
95101,4,,,,,,1,4,
95102,1,40,,1,252,2,,2,
95103,1,40,,1,72,1,,2,
95105,4,,,,,,3,1,372
95106,4,,,,,,2,4,
95110,4,,,,,,1,1,30
95113,2,,2,1,0,3,,1,24
95114,1,8,1,1,84,3,,2,
95115,4,,,,,,1,4,
95116,4,,,,,,4,1,240
95118,1,40,,1,60,1,,2,
95119,4,,,,,,2,4,
95121,2,,2,3,12,5,,2,
95123,1,40,,2,336,1,,2,
95124,1,36,,1,36,3,,1,72
95126,4,,,,,,1,1,12
95127,4,,,,,,2,4,
95128,1,40,,1,3,5,,2,
95129,4,,,,,,4,1,84
95131,1,40,,1,480,1,,2,
95134,1,34,1,5,48,5,,1,168
95135,4,,,,,,3,1,360
95137,1,80,,1,120,5,,2,
95138,4,,,,,,4,1,72
95139,4,,,,,,1,1,24
95140,1,45,,4,144,5,,2,
95143,1,40,,1,108,1,,2,
95148,1,30,1,1,84,3,,2,
95149,1,37,,4,240,1,,2,
95151,4,,,,,,3,1,240
95152,4,,,,,,4,1,168
95153,4,,,,,,1,1,24
95155,4,,,,,,6,1,144
95157,4,,,,,,3,1,480
95160,1,40,,1,48,1,,1,192
95161,4,,,,,,2,4,
95162,1,34,2,1,12,2,,2,
95163,4,,,,,,3,1,60
95165,1,30,2,1,4,2,,1,108
95168,1,40,,1,204,1,,2,
95169,1,40,,1,5,1,,2,
95170,4,,,,,,3,1,180
95171,4,,,,,,1,1,180
95172,4,,,,,,1,4,
95173,4,,,,,,3,1,300
95174,1,11,2,1,2,2,,1,10
95177,1,32,2,1,24,5,,2,
95179,1,25,2,1,13,5,,1,60
95181,4,,,,,,7,1,144
95182,1,40,,5,264,3,,2,
95184,1,15,2,1,2,2,,1,13
95185,1,25,2,4,0,3,,1,12
95186,4,,,,,,1,4,
95189,4,,,,,,6,1,324
95190,1,25,1,1,2,5,,1,18
95191,1,40,,1,60,3,,2,
95194,1,40,,1,2,1,,1,24
95195,1,25,2,1,0,3,,1,72
95197,1,44,,3,24,1,,2,
95198,4,,,,,,2,1,36
95199,1,5,2,4,12,3,,1,360
95200,4,,,,,,1,1,48
95201,1,16,2,1,4,5,,2,
95202,3,,,,,,,1,60
95203,4,,,,,,6,3,120
95204,4,,,,,,2,4,
95206,1,40,,2,144,1,,2,
95207,4,,,,,,3,1,324
95208,4,,,,,,3,1,300
95209,4,,,,,,3,1,360
95210,1,40,,1,120,5,,2,
95211,1,30,2,1,18,1,,2,
95213,1,5,2,1,9,1,,1,12
95214,4,,,,,,3,1,324
95215,1,32,2,1,5,1,,2,
95216,1,20,2,5,72,1,,2,
95218,1,8,2,1,9,5,,2,
95220,1,40,,1,324,3,,2,
95221,1,40,,1,3,5,,1,108
95222,4,,,,,,3,1,480
95223,1,30,2,1,12,2,,2,
95224,4,,,,,,3,1,408
95227,4,,,,,,2,4,
95228,1,50,,1,204,5,,2,
95231,1,80,,1,24,5,,1,96
95232,3,,,,,,,1,24
95233,1,48,,1,12,5,,2,
95236,4,,,,,,3,1,324
95237,1,30,2,1,48,1,,2,
95238,1,72,,5,480,5,,2,
95239,3,,,,,,,1,24
95241,1,20,2,1,24,5,,2,
95242,1,40,,4,132,1,,2,
95243,4,,,,,,3,1,420
95244,1,55,,1,240,3,,2,
95247,4,,,,,,3,1,24
95249,4,,,,,,6,1,96
95250,1,40,,1,6,1,,2,
95251,1,37,,1,48,3,,2,
95252,4,,,,,,3,1,240
95255,1,35,,1,60,1,,2,
95256,4,,,,,,7,1,180
95257,1,30,1,1,24,3,,2,
95258,4,,,,,,3,1,132
95259,4,,,,,,3,1,600
95260,1,50,,1,14,5,,1,48
95261,1,80,,1,60,3,,2,
95262,4,,,,,,7,1,24
95264,4,,,,,,2,4,
95265,4,,,,,,6,1,60
95266,4,,,,,,3,1,360
95268,4,,,,,,4,1,360
95269,4,,,,,,2,4,
95272,4,,,,,,3,1,240
95273,4,,,,,,3,1,336
95274,1,30,1,3,48,3,,1,36
95275,1,75,,1,72,5,,2,
95276,1,60,,1,24,5,,3,48
95278,1,40,,1,96,1,,1,240
95279,1,40,,1,120,2,,2,
95280,1,20,1,5,1,5,,1,180
95281,4,,,,,,3,1,408
95283,4,,,,,,2,1,24
95284,4,,,,,,1,1,252
95286,1,26,1,1,24,3,,2,
95287,1,26,2,4,168,5,,2,
95288,3,,,,,,,4,
95289,1,60,,1,252,1,,2,
95293,4,,,,,,2,4,
95296,2,,1,1,84,5,,2,
95298,1,45,,1,348,3,,2,
95301,1,5,2,6,1,1,,2,
95302,1,56,,1,6,1,,1,120
95305,3,,,,,,,4,
95307,2,,2,1,5,3,,1,24
95308,4,,,,,,3,1,240
95310,1,40,,1,48,3,,2,
95312,1,40,,1,24,1,,2,
95313,1,51,,1,336,1,,2,
95315,1,56,,5,48,5,,1,120
95316,1,51,,1,4,2,,1,216
95318,1,18,2,1,204,1,,2,
95319,1,42,,1,8,2,,1,108
95321,4,,,,,,6,1,240
95322,4,,,,,,6,1,180
95323,1,18,2,6,2,5,,2,
95324,4,,,,,,3,1,360
95325,1,9,1,5,12,5,,1,240
95326,4,,,,,,3,1,240
95327,1,45,,1,156,1,,2,
95328,1,33,2,1,2,5,,2,
95329,1,35,,1,36,5,,1,120
95330,4,,,,,,3,1,72
95332,4,,,,,,3,1,432
95333,1,40,,5,60,5,,2,
95334,4,,,,,,6,1,72
95335,4,,,,,,1,1,300
95338,4,,,,,,3,1,84
95339,4,,,,,,3,1,456
95340,1,47,,1,240,1,,2,
95342,1,45,,1,0,5,,2,
95343,4,,,,,,1,1,204
95345,4,,,,,,2,4,
95346,1,16,2,1,120,5,,1,180
95348,1,14,1,1,48,1,,2,
95351,1,50,,1,7,1,,1,96
95352,1,33,2,1,240,1,,2,
95353,1,37,,1,2,2,,2,
95356,1,52,,1,336,1,,2,
95357,4,,,,,,6,1,120
95358,4,,,,,,6,1,60
95360,4,,,,,,3,1,552
95361,4,,,,,,3,1,72
95362,4,,,,,,1,1,24
95364,1,40,,1,96,5,,2,
95366,4,,,,,,1,1,144
95367,1,60,,5,108,5,,1,264
95372,4,,,,,,3,1,552
95374,1,45,,1,60,2,,2,
95375,4,,,,,,3,1,444
95377,1,80,,1,336,5,,2,
95378,4,,,,,,3,1,192
95379,4,,,,,,1,1,228
95380,1,5,2,1,0,1,,1,144
95381,1,30,2,1,2,5,,1,12
95382,1,40,,3,252,2,,1,264
95385,1,40,,1,2,1,,2,
95388,4,,,,,,2,1,60
95389,1,47,,1,11,1,,2,
95390,1,50,,5,216,2,,2,
95391,4,,,,,,1,4,
95392,1,40,,99,36,1,,1,36
95393,1,43,,1,72,1,,2,
95394,1,50,,5,192,5,,2,
95397,4,,,,,,6,1,360
95401,4,,,,,,3,1,60
95402,1,80,,1,24,5,,2,
95403,4,,,,,,7,1,360
95405,1,15,1,3,204,1,,2,
95406,4,,,,,,3,1,420
95410,1,15,2,1,180,5,,1,420
95411,4,,,,,,3,1,240
95412,4,,,,,,6,1,192
95413,1,20,2,1,24,5,,1,300
95414,3,,,,,,,1,5
95415,1,48,,5,180,1,,2,
95416,1,30,2,5,144,5,,2,
95417,4,,,,,,3,1,84
95418,1,50,,2,480,1,,2,
95419,4,,,,,,3,1,240
95420,1,28,2,1,1,5,,1,12
95421,4,,,,,,3,1,600
95422,1,50,,1,24,5,,2,
95423,1,15,2,4,12,1,,3,48
95424,1,50,,1,84,5,,2,
95425,3,,,,,,,1,5
95427,4,,,,,,6,1,144
95429,1,22,2,1,72,2,,1,60
95431,4,,,,,,4,1,84
95432,3,,,,,,,1,5
95434,4,,,,,,6,4,
95436,1,40,,1,240,3,,2,
95437,4,,,,,,2,1,36
95440,4,,,,,,3,1,360
95442,1,40,,3,36,1,,2,
95444,4,,,,,,1,1,24
95445,1,36,,1,12,5,,1,96
95446,1,40,,1,48,1,,2,
95447,4,,,,,,3,1,324
95448,4,,,,,,3,1,180
95449,1,40,,4,132,3,,1,276
95450,1,40,,1,7,3,,1,12
95452,1,32,1,1,132,5,,2,
95453,4,,,,,,7,1,144
95454,1,40,,1,156,1,,3,240
95455,1,43,,1,2,1,,1,108
95457,4,,,,,,2,1,6
95459,1,40,,1,240,5,,2,
95463,1,35,,1,12,5,,2,
95465,1,28,1,5,120,3,,2,
95466,1,40,,1,1,1,,1,156
95467,4,,,,,,3,1,420
95468,2,,1,5,180,5,,1,540
95469,1,70,,1,16,5,,2,
95471,4,,,,,,6,1,384
95472,1,40,,1,48,1,,2,
95473,1,27,1,1,192,1,,2,
95474,4,,,,,,1,1,120
95479,1,55,,1,384,5,,2,
95480,4,,,,,,3,1,480
95481,3,,,,,,,1,5
95484,4,,,,,,3,1,240
95485,4,,,,,,2,4,
95486,1,40,,4,36,1,,2,
95487,3,,,,,,,1,6
95488,4,,,,,,1,1,20
95492,4,,,,,,3,1,480
95493,1,59,,1,36,1,,2,
95494,1,32,2,1,24,2,,2,
95495,4,,,,,,3,1,300
95499,1,70,,4,348,2,,2,
95500,4,,,,,,4,1,72
95501,1,60,,1,6,3,,1,18
95503,1,40,,4,252,3,,2,
95504,4,,,,,,3,1,276
95505,1,50,,1,18,5,,2,
95506,1,40,,1,4,1,,2,
95508,4,,,,,,3,1,180
95509,1,40,,1,36,1,,2,
95510,1,50,,5,396,5,,2,
95511,1,45,,1,336,1,,2,
95514,1,60,,4,84,2,,1,84
95515,4,,,,,,3,1,468
95517,1,32,2,1,12,5,,2,
95518,4,,,,,,7,1,5
95519,4,,,,,,6,1,60
95522,1,26,1,1,0,5,,1,5
95524,1,40,,1,180,1,,2,
95525,1,40,,1,132,3,,2,
95526,4,,,,,,3,1,240
95527,4,,,,,,4,1,72
95528,4,,,,,,4,1,444
95531,1,40,,1,408,5,,2,
95532,1,45,,2,12,5,,1,36
95533,4,,,,,,6,1,168
95534,1,42,,5,60,1,,2,
95535,4,,,,,,7,1,84
95537,1,40,,1,192,1,,2,
95539,4,,,,,,3,1,252
95540,4,,,,,,3,1,432
95541,4,,,,,,7,1,36
95542,1,40,,1,60,5,,1,180
95543,1,40,,1,24,1,,2,
95544,1,60,,1,72,5,,1,108
95547,3,,,,,,,1,240
95548,1,42,,1,84,5,,2,
95549,1,40,,3,18,5,,1,216
95550,4,,,,,,3,1,408
95551,1,40,,1,0,3,,2,
95553,4,,,,,,3,1,300
95555,1,20,2,6,36,5,,2,
95556,1,46,,1,120,5,,2,
95557,4,,,,,,3,1,480
95558,3,,,,,,,1,240
95559,1,30,1,5,204,2,,2,
95561,1,45,,1,60,1,,1,120
95563,1,40,,3,132,1,,1,240
95565,1,40,,1,8,3,,1,108
95566,4,,,,,,3,1,276
95568,4,,,,,,1,1,36
95569,1,50,,1,0,1,,1,6
95571,4,,,,,,4,1,96
95572,4,,,,,,3,1,504
95573,1,60,,1,24,2,,1,36
95574,1,15,2,1,12,5,,2,
95575,1,30,2,1,96,3,,1,108
95576,4,,,,,,3,1,60
95577,4,,,,,,3,1,168
95578,4,,,,,,3,1,48
95579,4,,,,,,4,1,72
95581,4,,,,,,1,1,60
95582,4,,,,,,2,1,48
95583,4,,,,,,3,1,360
95585,3,,,,,,,1,5
95586,1,40,,1,1,2,,1,48
95587,1,40,,1,36,1,,1,96
95588,4,,,,,,3,1,420
95589,1,60,,1,108,1,,2,
95590,1,40,,2,300,1,,2,
95591,1,36,,3,12,2,,2,
95593,4,,,,,,3,1,324
95594,1,60,,5,240,5,,2,
95595,4,,,,,,4,1,36
95597,4,,,,,,3,1,324
95598,1,58,,1,48,5,,2,
95599,1,40,,5,24,5,,1,192
95600,4,,,,,,6,1,264
95601,4,,,,,,6,1,96
95602,1,40,,1,36,3,,2,
95604,1,20,2,1,2,2,,1,12
95606,1,30,1,5,24,3,,2,
95607,1,40,,1,5,5,,1,144
95608,4,,,,,,3,1,384
95609,1,28,2,1,24,5,,2,
95610,1,40,,1,240,1,,2,
95611,3,,,,,,,1,240
95612,3,,,,,,,1,42
95615,4,,,,,,3,1,264
95616,1,14,2,1,5,5,,2,
95617,1,60,,1,24,5,,2,
95618,4,,,,,,2,4,
95619,4,,,,,,2,4,
95621,4,,,,,,3,1,396
95622,4,,,,,,2,1,12
95623,4,,,,,,1,1,60
95625,1,45,,1,192,5,,2,
95626,4,,,,,,3,1,480
95627,4,,,,,,3,1,480
95628,3,,,,,,,1,12
95629,4,,,,,,3,1,84
95630,4,,,,,,3,1,324
95633,4,,,,,,3,1,180
95636,1,40,,1,96,1,,2,
95637,4,,,,,,3,1,516
95638,4,,,,,,2,4,
95639,4,,,,,,6,1,72
95640,1,32,1,1,0,5,,1,9
95641,4,,,,,,6,1,180
95643,1,60,,1,48,5,,1,36
95644,4,,,,,,6,1,48
95645,4,,,,,,6,1,120
95648,4,,,,,,3,1,240
95649,1,40,,1,12,1,,1,180
95651,1,5,2,5,480,5,,2,
95652,1,50,,3,132,2,,2,
95654,1,13,2,1,7,5,,1,360
95655,1,17,2,1,2,2,,1,24
95656,4,,,,,,3,1,576
95657,1,40,,1,60,5,,2,
95658,1,42,,1,13,1,,1,96
95659,4,,,,,,4,1,84
95661,1,16,2,6,12,3,,1,240
95662,1,40,,4,36,1,,2,
95663,1,45,,1,96,5,,2,
95664,1,40,,1,10,5,,1,192
95665,1,45,,3,12,1,,1,24
95666,1,40,,4,0,5,,1,60
95668,4,,,,,,6,1,180
95669,1,40,,1,120,1,,2,
95671,4,,,,,,3,1,72
95672,4,,,,,,3,3,288
95673,4,,,,,,3,1,84
95674,3,,,,,,,1,48
95675,4,,,,,,3,1,276
95676,1,46,,1,192,3,,2,
95678,4,,,,,,2,1,60
95680,1,70,,1,240,5,,1,240
95681,4,,,,,,3,1,18
95684,1,50,,1,6,5,,1,36
95685,1,15,2,1,36,5,,1,120
95686,4,,,,,,5,1,12
95687,4,,,,,,6,1,96
95689,4,,,,,,7,1,420
95690,1,56,,1,13,5,,1,360
95692,4,,,,,,6,1,120
95694,1,40,,3,12,1,,1,156
95696,3,,,,,,,1,36
95698,4,,,,,,6,1,204
95699,1,50,,1,12,1,,2,
95700,1,40,,1,96,1,,1,144
95702,4,,,,,,2,4,
95703,1,18,2,1,5,2,,1,8
95704,1,40,,1,228,3,,2,
95705,4,,,,,,2,4,
95708,1,24,1,1,360,3,,2,
95710,3,,,,,,,1,204
95711,1,42,,5,2,1,,1,60
95713,1,40,,1,36,1,,1,180
95714,1,40,,3,216,3,,2,
95716,4,,,,,,1,4,
95717,4,,,,,,1,1,312
95718,3,,,,,,,1,420
95719,1,35,,1,12,5,,2,
95720,4,,,,,,3,1,216
95722,1,70,,1,120,1,,2,
95723,4,,,,,,3,1,240
95725,4,,,,,,3,1,360
95726,3,,,,,,,1,18
95727,1,5,2,1,60,3,,1,180
95729,4,,,,,,3,1,192
95731,4,,,,,,1,1,156
95733,4,,,,,,2,1,5
95734,4,,,,,,3,1,360
95736,4,,,,,,6,1,60
95738,2,,1,1,120,5,,1,240
95741,1,10,2,1,4,5,,1,12
95743,1,48,,1,96,1,,2,
95744,1,35,,4,312,1,,2,
95745,4,,,,,,6,1,14
95748,1,60,,1,19,1,,2,
95752,4,,,,,,6,1,240
95754,1,30,1,5,72,1,,2,
95756,1,19,2,1,1,1,,1,30
95759,1,5,2,1,180,5,,2,
95761,1,40,,1,3,1,,1,120
95762,1,40,,1,3,5,,1,96
95763,4,,,,,,3,1,372
95765,1,50,,1,192,5,,2,
95766,1,30,1,1,0,5,,1,12
95767,4,,,,,,6,1,168
95768,1,55,,1,12,3,,1,36
95769,3,,,,,,,1,240
95770,4,,,,,,6,3,84
95771,1,60,,1,48,3,,2,
95772,1,16,2,1,24,1,,1,96
95773,4,,,,,,4,1,60
95775,1,45,,1,12,1,,2,
95777,4,,,,,,3,1,336
95778,4,,,,,,1,4,
95780,4,,,,,,3,1,120
95782,4,,,,,,2,4,
95783,4,,,,,,2,1,72
95785,1,12,2,1,14,1,,1,120
95787,1,5,1,1,12,3,,2,
95788,1,30,2,99,18,1,,1,48
95789,2,,1,2,12,5,,2,
95791,1,36,,1,3,5,,1,84
95792,1,10,2,1,3,5,,1,30
95793,4,,,,,,1,1,18
95794,4,,,,,,3,1,180
95795,4,,,,,,3,1,99999
95798,4,,,,,,6,1,360
95799,1,40,,1,5,1,,1,24
95802,4,,,,,,3,1,240
95803,1,45,,1,24,1,,2,
95807,1,50,,1,21,1,,2,
95808,4,,,,,,2,1,5
95809,4,,,,,,1,1,84
95811,1,43,,1,12,5,,1,36
95812,1,45,,1,108,5,,1,420
95813,4,,,,,,6,1,144
95814,1,42,,1,7,1,,1,120
95819,4,,,,,,3,1,360
95820,1,40,,3,10,1,,2,
95821,3,,,,,,,4,
95822,1,16,2,5,120,1,,2,
95824,4,,,,,,4,1,300
95825,1,60,,1,36,2,,2,
95828,4,,,,,,3,1,300
95829,4,,,,,,3,1,360
95831,1,40,,1,168,2,,2,
95833,1,25,2,5,60,5,,1,300
95834,1,5,2,1,12,5,,1,48
95835,1,36,,1,0,1,,2,
95836,1,38,,1,72,5,,2,
95838,4,,,,,,3,1,300
95839,1,50,,1,204,1,,2,
95841,1,40,,1,60,1,,1,96
95843,1,60,,1,18,2,,1,60
95844,4,,,,,,3,1,492
95846,4,,,,,,3,1,240
95848,1,30,2,1,48,1,,2,
95849,1,31,2,1,6,2,,2,
95850,1,20,1,1,12,1,,1,84
95851,1,53,,1,39,3,,2,
95853,1,30,1,1,7,1,,2,
95854,1,50,,1,4,1,,1,60
95855,1,40,,1,204,1,,2,
95858,1,40,,1,72,1,,2,
95860,4,,,,,,6,4,
95862,4,,,,,,3,1,180
95863,4,,,,,,3,1,120
95864,4,,,,,,3,1,360
95865,1,80,,1,228,5,,2,
95866,4,,,,,,3,3,156
95867,1,45,,5,120,5,,2,
95868,4,,,,,,3,1,360
95869,1,6,2,1,48,5,,1,492
95870,1,38,,1,48,1,,2,
95873,4,,,,,,3,1,228
95874,1,40,,2,3,5,,1,18
95875,4,,,,,,3,1,480
95877,4,,,,,,3,3,396
95880,4,,,,,,3,1,276
95881,1,5,2,5,120,3,,1,324
95882,1,70,,1,3,5,,1,84
95883,1,32,1,1,7,5,,2,
95886,4,,,,,,1,1,36
95889,3,,,,,,,1,9
95890,1,52,,1,72,5,,2,
95891,4,,,,,,6,1,240
95892,4,,,,,,7,1,5
95896,1,40,,1,24,1,,2,
95899,1,40,,1,24,5,,1,228
95900,1,45,,1,48,1,,2,
95902,1,40,,1,12,1,,2,
95903,1,64,,1,7,5,,2,
95904,1,50,,1,60,5,,2,
95906,4,,,,,,2,1,5
95907,3,,,,,,,1,12
95908,4,,,,,,3,1,360
95910,1,75,,5,300,5,,2,
95911,4,,,,,,1,1,96
95912,1,40,,1,288,1,,2,
95913,4,,,,,,3,4,
95914,1,40,,1,12,5,,1,204
95915,1,40,,3,84,1,,1,156
95916,1,56,,1,276,3,,2,
95917,1,44,,1,168,1,,2,
95918,1,32,2,2,180,2,,2,
95919,1,30,1,5,120,1,,2,
95922,1,56,,1,24,1,,2,
95924,4,,,,,,3,3,288
95927,3,,,,,,,1,5
95928,4,,,,,,3,1,180
95931,4,,,,,,3,1,300
95933,4,,,,,,7,4,
95935,3,,,,,,,1,24
95936,1,30,2,1,12,1,,1,204
95939,4,,,,,,3,1,420
95944,1,45,,1,240,3,,2,
95945,4,,,,,,3,1,300
95946,4,,,,,,6,1,180
95948,1,12,2,1,3,5,,2,
95950,1,45,,1,12,1,,1,180
95951,4,,,,,,7,1,12
95952,4,,,,,,3,1,600
95953,1,22,2,1,4,2,,2,
95954,1,70,,5,192,5,,2,
95955,1,35,,1,18,5,,2,
95956,4,,,,,,2,4,
95959,4,,,,,,2,4,
95962,1,35,,2,18,1,,1,84
95964,4,,,,,,3,1,360
95965,1,40,,5,240,3,,2,
95966,4,,,,,,3,1,480
95968,2,,2,5,180,1,,2,
95969,4,,,,,,6,1,348
95971,1,40,,1,144,1,,2,
95973,1,5,2,1,1,2,,1,18
95976,4,,,,,,4,1,144
95977,1,33,2,2,3,3,,1,36
95978,4,,,,,,6,1,24
95979,4,,,,,,3,1,180
95981,1,40,,1,120,3,,2,
95983,1,24,2,1,360,1,,2,
95985,1,32,1,1,0,5,,1,108
95986,3,,,,,,,1,72
95987,4,,,,,,7,1,300
95988,4,,,,,,3,1,600
95990,1,16,2,3,15,2,,1,96
95991,1,40,,1,36,2,,2,
95992,4,,,,,,3,1,132
95993,4,,,,,,3,1,99999
95995,4,,,,,,6,4,
95996,1,20,2,1,10,1,,2,
95997,1,40,,1,36,1,,1,120
95998,4,,,,,,7,1,60
95999,4,,,,,,2,1,5
96000,1,35,,1,6,1,,2,
96001,4,,,,,,6,1,204
96002,4,,,,,,4,1,84
96003,1,20,1,1,1,3,,1,156
96004,1,40,,3,2,5,,1,240
96006,4,,,,,,1,4,
96007,4,,,,,,3,1,348
96008,1,16,2,1,1,3,,1,180
96010,4,,,,,,6,1,300
96011,4,,,,,,1,1,12
96012,3,,,,,,,4,
96014,1,45,,1,9,1,,2,
96016,4,,,,,,3,1,156
96017,1,40,,1,60,1,,1,312
96019,1,50,,5,312,5,,2,
96020,4,,,,,,3,1,204
96022,1,50,,1,12,1,,2,
96023,4,,,,,,3,1,60
96024,1,40,,3,96,3,,2,
96025,1,50,,1,204,1,,2,
96027,4,,,,,,3,1,276
96029,1,40,,1,12,5,,1,24
96030,4,,,,,,7,1,96
96031,1,40,,1,8,5,,1,84
96033,4,,,,,,6,1,84
96034,1,30,1,5,60,5,,1,360
96035,1,24,1,99,18,5,,2,
96037,4,,,,,,6,1,132
96038,1,63,,1,312,1,,2,
96041,4,,,,,,3,1,240
96044,1,40,,1,120,5,,1,240
96048,1,40,,1,13,2,,1,120
96049,1,40,,1,24,1,,1,108
96050,1,13,2,1,60,5,,1,120
96053,1,30,1,1,2,1,,1,7
96056,3,,,,,,,1,6
96061,3,,,,,,,1,252
96063,1,6,2,3,5,3,,1,48
96064,1,40,,2,36,1,,3,240
96065,4,,,,,,3,1,504
96066,4,,,,,,4,1,48
