"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
42012,1,2,2,2,2,2,2,2,2,6,1.57,2,,
42013,1,2,2,2,2,2,2,2,2,11,2.78,3,,
42014,1,1,1,1,2,2,2,2,2,6,2.19,3,2,3
42015,2,2,1,1,1,2,2,1,1,99,,3,1,
42016,1,2,2,2,2,2,2,2,2,12,5,3,,
42017,1,2,2,2,2,2,2,2,1,3,0.5,1,2,1
42018,1,2,2,2,2,2,2,2,2,12,4.78,3,2,1
42019,1,2,2,2,2,2,2,2,2,7,1.49,2,2,4
42020,1,2,2,2,2,2,2,2,1,5,0.97,1,2,99
42021,1,2,2,2,2,2,1,2,2,7,1.59,2,2,1
42022,1,2,1,2,2,1,2,2,2,3,0.44,1,2,4
42023,1,2,2,2,2,2,2,2,2,99,,1,2,1
42024,1,2,2,2,2,2,2,1,2,8,2.94,3,,
42025,1,2,2,2,2,2,2,2,1,8,1.54,2,2,1
42026,1,1,1,2,2,2,2,2,2,7,2.1,3,,
42027,1,1,2,2,2,2,2,2,2,9,2,3,,
42028,2,2,1,2,2,1,2,2,2,8,3.37,3,,
42029,1,1,1,2,2,2,2,2,2,3,1.15,1,2,77
42030,1,2,2,2,2,2,2,1,2,12,5,3,,
42031,1,2,1,2,1,2,2,2,2,8,1.9,3,2,1
42032,1,2,2,2,2,2,2,2,2,7,1.74,2,,
42033,2,2,2,1,2,2,2,2,2,2,0.58,1,2,1
42034,1,1,2,2,2,2,2,1,2,,,,,
42035,1,2,2,2,2,2,2,2,2,5,1.13,1,2,1
42036,1,1,2,2,2,2,2,2,2,12,5,3,1,
42037,2,2,1,2,2,2,2,1,2,99,,3,1,
42038,1,2,2,2,2,2,2,1,2,12,5,3,,
42039,7,7,7,7,7,7,7,7,7,,,,,
42040,1,2,2,2,2,2,2,2,2,12,4.65,3,,
42041,2,2,1,2,2,2,2,1,2,5,1.62,2,1,
42042,1,2,2,2,2,1,2,2,1,2,0.41,1,2,1
42043,1,2,2,2,2,2,2,2,2,99,,1,1,
42044,1,2,2,2,2,2,2,2,2,7,1.3,1,2,1
42045,1,1,2,2,2,2,2,2,2,12,5,3,,
42046,1,2,2,2,2,2,2,2,2,10,2.9,3,,
42047,1,2,2,2,2,2,2,2,2,8,3.07,3,,
42048,1,2,2,2,2,2,2,2,2,4,1.88,3,2,1
42049,1,2,2,2,2,2,2,1,2,9,3.41,3,,
42050,1,2,2,2,2,2,2,2,2,9,5,3,,
42051,1,2,2,2,2,2,2,2,2,11,3.04,3,,
42052,1,2,2,2,2,2,2,2,2,2,0.35,1,2,1
42053,1,2,2,2,2,2,2,1,2,12,5,3,,
