"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
62426,1,2,2,2,2,2,2,2,2,8,1.12,1,2,99
62427,1,2,2,2,2,2,2,2,2,5,0.92,1,2,1
62428,1,1,2,2,2,2,2,2,1,12,3.87,3,,
62429,1,2,2,2,2,2,2,2,2,7,2.86,3,,
62430,1,2,2,2,2,2,2,2,1,7,2.26,3,,
62431,2,2,2,1,2,1,1,2,2,2,0.77,1,2,1
62432,1,2,2,2,2,2,2,2,2,12,4.69,3,,
62433,,,,,,,,,,,,,,
62434,1,1,2,2,2,2,2,2,2,11,5,3,,
62435,2,2,2,2,2,2,2,2,2,99,,3,2,99
62436,1,2,2,2,2,2,2,2,2,3,0.41,1,2,4
62437,1,2,2,2,2,2,2,2,2,3,0.54,1,2,1
62438,1,2,2,2,2,2,2,2,2,7,1.6,2,9,
62439,2,1,1,2,1,2,2,1,2,12,5,3,,
62440,1,2,2,2,2,2,2,2,2,7,1.2,1,2,1
62441,2,2,2,2,2,1,2,2,2,2,0.37,1,2,1
62442,9,2,2,2,2,2,2,2,2,99,,3,,
62443,1,2,2,2,2,2,2,2,2,7,1.33,2,2,1
62444,2,2,2,2,2,2,2,2,2,1,0,1,2,2
62445,1,2,2,2,2,1,2,2,2,4,0.73,1,2,1
62446,1,2,2,2,2,2,2,2,2,1,0,1,2,1
62447,1,2,2,2,2,2,2,2,1,7,1.94,3,2,2
62448,1,1,2,2,2,2,2,2,2,3,0.46,1,2,1
62449,1,2,2,2,2,2,2,2,2,10,3.01,3,,
62450,2,2,1,1,1,1,2,2,2,7,1.93,3,2,1
62451,1,2,2,2,2,2,2,2,2,2,0.57,1,2,1
62452,1,2,2,2,2,2,2,2,2,3,0.78,1,2,1
62453,1,2,2,2,2,2,2,2,1,4,1.01,1,2,1
62454,1,2,2,2,2,2,2,2,2,4,1.11,1,2,1
62455,1,1,2,2,2,2,2,2,2,12,4.44,3,,
62456,1,2,2,2,2,2,2,2,2,7,2.1,3,,
62457,1,1,2,2,2,2,1,1,2,99,,3,,
62458,7,7,7,7,7,7,7,7,2,,,,,
62459,1,2,9,2,2,2,2,2,2,99,,3,2,1
62460,1,1,2,2,2,2,2,2,2,12,4.95,3,,
62461,1,2,2,2,2,2,2,2,2,7,2.38,3,,
62462,1,2,2,2,2,2,2,2,2,12,5,3,,
62463,1,2,2,2,2,2,2,2,2,2,0.19,1,2,1
62464,1,2,2,2,2,2,2,2,1,8,4.41,3,,
62465,1,2,2,2,2,2,2,1,2,8,2.42,3,,
62466,1,1,2,2,2,1,2,2,1,6,0.85,1,2,1
62467,2,1,2,2,2,2,2,2,2,5,1.83,2,,
62468,1,2,2,2,2,2,2,2,2,4,0.81,1,2,1
62469,1,2,2,2,2,2,2,1,1,3,0.59,1,2,1
62470,1,2,2,2,2,2,2,2,2,3,0.3,1,2,1
62471,1,2,1,2,2,2,2,9,9,99,,9,9,
62472,1,1,2,2,2,2,2,2,2,99,,3,,
62473,1,2,2,2,2,2,2,2,2,5,1.63,2,2,1
62474,2,2,1,2,1,2,2,2,1,3,1.13,1,2,1
62475,1,1,2,2,2,2,2,2,2,2,0.55,1,2,1
62476,2,1,2,2,2,2,2,2,2,5,2.2,3,2,1
62477,1,2,2,2,2,2,2,2,1,7,0.93,1,2,1
62478,2,2,2,2,2,2,2,2,2,2,0.33,1,2,1
62479,1,2,2,2,2,2,2,2,2,8,2,3,,
62480,1,2,2,2,2,2,2,2,2,11,4.11,3,,
62481,1,2,2,2,2,2,2,2,1,11,3.49,3,,
62482,1,2,2,2,2,2,2,2,1,5,1.07,1,2,1
62483,1,2,2,2,2,2,2,2,1,5,0.68,1,2,1
62484,1,2,2,2,2,2,2,2,2,5,0.92,1,2,77
62485,1,2,2,2,2,2,2,2,1,1,0.22,1,2,1
62486,1,1,1,2,2,2,2,2,2,7,1.38,2,2,2
62487,1,2,2,2,2,2,2,2,2,11,5,3,,
62488,1,2,2,2,2,2,2,1,2,10,2.95,3,,
62489,1,2,2,2,2,2,2,2,1,4,0.41,1,2,1
62490,1,2,1,2,2,2,2,1,2,11,2.8,3,,
62491,1,2,2,2,2,2,2,2,2,12,5,3,,
62492,1,1,2,2,2,2,2,2,1,9,2.29,3,,
62493,1,2,2,2,2,2,2,2,1,8,3.26,3,,
62494,1,2,2,2,2,2,2,2,2,7,3.53,3,,
62495,2,2,1,2,1,2,2,2,2,10,3.65,3,,
62496,1,2,2,2,2,2,2,2,2,3,0.43,1,2,1
62497,1,2,2,2,2,2,2,1,2,12,4.28,3,,
62498,1,2,2,2,2,2,2,2,1,8,1.31,2,,
62499,1,2,2,2,2,2,2,2,2,4,0.97,1,2,1
62500,1,2,2,2,2,2,2,1,2,77,,2,7,
62501,1,2,2,2,2,2,2,2,2,8,1.78,2,,
62502,1,2,2,2,2,2,2,2,2,3,0.43,1,2,6
62503,2,2,1,1,2,1,2,2,2,6,0.93,1,2,1
62504,1,2,2,2,2,2,2,2,2,3,0.53,1,2,1
62505,1,2,2,2,2,2,2,2,2,,,,,
62506,1,2,2,2,2,2,2,2,2,3,0.75,1,2,4
62507,2,2,1,9,2,2,2,2,2,2,0.21,1,2,1
62508,1,2,2,2,2,2,2,1,1,12,5,3,,
62509,2,2,2,2,2,2,2,2,2,5,1.26,1,1,
62510,1,2,1,2,1,1,2,1,2,8,3.01,3,,
62511,1,2,2,2,2,2,2,2,1,3,0.36,1,2,1
62512,1,2,2,2,2,2,2,1,2,12,5,3,,
62513,1,1,2,2,2,2,2,2,2,5,0.89,1,2,1
62514,1,2,2,2,2,2,2,2,2,6,1.41,2,2,1
62515,1,2,2,2,2,2,2,2,2,2,0.14,1,2,2
62516,1,2,1,2,2,2,2,2,2,7,1.67,2,,
62517,2,2,7,7,7,7,7,7,7,,,,,
62518,1,2,2,2,2,2,2,1,2,12,5,3,,
62519,2,2,1,1,2,1,2,2,2,2,0.72,1,1,
62520,1,2,2,2,2,2,2,2,2,5,1.51,2,2,1
62521,1,2,1,2,2,2,2,2,2,7,2.64,3,,
62522,1,1,2,2,2,2,2,1,2,2,0.55,1,,
62523,1,2,2,2,2,2,2,2,2,6,0.96,1,2,1
62524,1,2,2,2,2,2,2,2,2,8,4.19,3,,
62525,1,2,2,2,2,2,2,1,2,3,0.65,1,2,1
62526,1,2,2,2,2,2,2,2,2,99,,9,2,99
62527,2,2,1,2,2,2,2,2,2,,,,,
62528,1,2,2,2,2,2,2,2,2,99,,9,2,1
62529,1,2,2,2,2,2,2,2,1,99,,9,1,
62530,1,2,2,2,2,2,1,2,2,5,0.97,1,2,1
62531,1,2,1,2,2,1,2,2,1,3,0.63,1,2,1
62532,2,2,2,2,1,2,2,2,2,77,,7,7,
62533,1,2,2,2,2,2,2,2,2,8,2.91,3,,
62534,2,2,2,2,2,1,2,2,1,2,0.31,1,2,1
62535,1,1,2,2,2,2,2,2,2,11,2.52,3,,
62536,1,1,2,2,2,2,2,2,2,11,5,3,,
62537,1,1,2,2,2,2,2,2,2,8,1.83,2,2,1
62538,1,2,2,2,2,2,2,2,2,12,5,3,,
62539,2,2,2,1,2,1,2,2,2,3,0.98,1,2,1
