"SEQN","FSD032A","FSD032B","FSD032C","FSD032D","FSD032E","FSD032F","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD411","FSD421","FSD431","FSQ440","FSD451","FSQ170","FSD170N","FSD180","FSD190","FSD200","FSQ210","FSQ220","FSQ162","FSD650","FSD660","FSD670"
31232,2,2,2,,,,2,,1,2,2,2,,,,,,,3,3,,2,3,3,2,3,2,2,2,0,2,,,,,2,,,
31233,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31234,2,2,3,3,3,3,1,2,2,2,2,2,,2,2,,2,2,3,3,1,1,3,3,3,3,,,1,1,2,,,,335,1,1,1,9
31235,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,3,2,2,4,4,4,1,3,3,3,3,2,,1,3,1,2,2,,236,1,,,
31236,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,2,,
31237,2,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,2,,2,2,0,2,,,,,2,,,
31238,2,2,3,3,3,3,1,3,2,2,2,2,,2,2,,2,2,3,3,1,2,3,3,3,3,,,2,0,2,,,,,2,,,
31239,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31240,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,2,,
31241,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31242,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31243,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31244,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31245,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31246,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31247,1,2,2,1,2,3,1,3,2,1,2,2,,1,2,,2,2,4,3,3,1,3,3,3,3,,,1,1,2,,,520,,1,,,
31248,2,2,3,2,2,2,1,2,1,1,1,2,,1,1,2,1,2,4,4,4,2,1,1,1,1,2,1,1,1,2,,,152,,1,,,
31249,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31250,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31251,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,400,,2,1,2,24
31252,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31253,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31254,2,2,2,,,,2,,2,2,2,,,,,,,,3,3,,2,2,3,3,3,2,2,2,0,2,,,,,2,,,
31255,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,2,,1,1,1,2,2,,2,1,2,,
31256,3,3,2,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,,,2,0,2,,,,,2,2,,
31257,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31258,2,1,3,2,3,3,2,,2,2,2,,,,,,,,3,2,2,2,3,3,3,3,2,,2,0,2,,,,,1,,,
31259,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,1,1,1,2
31260,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,2,1,12,1,272,,1,1,,
31261,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31262,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31263,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31264,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31265,2,2,3,,,,2,,1,2,2,2,,,,,,,3,3,,2,,,,,,,9,,,,,,,2,,,
31266,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
31267,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31268,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,4,1,7,1,426,,1,1,1,9
31269,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,1,1,1
31270,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,150,,1,,,
31271,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31272,2,2,2,2,3,3,2,,2,2,1,1,2,2,2,,2,2,3,4,2,2,3,3,3,3,,,1,4,1,12,1,506,,2,,,
31273,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
31274,3,3,2,,,,2,,2,2,2,,,,,,,,2,2,,2,3,3,3,3,2,,2,0,2,,,,,,,,
31275,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31276,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
31277,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
