"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD421","FSD431","FSD411","FSD440","FSD451","FSQ165","FSQ171","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
51741,2,2,2,2,,2,2,2,,,,,,,,,,,3,3,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51742,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51743,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,,,,,,,2,,,,2,,,2,2,0,2,,,,
51744,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,,,,,,,,
51745,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51746,3,3,2,1,3,1,2,2,1,3,,,,,,,,,3,3,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51747,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51748,1,1,1,2,,1,1,1,2,,,,,,,,,,4,4,,2,,,,,,,2,,,,,,,,,,,,,,
51749,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51750,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,3,3,3,2,,1,1,29,250,2,,,,,,,,,,
51751,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,1,1,24,300,1,1,1,1,1,36,1,4,,,
51752,1,1,2,1,2,2,2,2,2,,,,,,,,,,3,3,,2,,,,,,,1,1,11,25,,,,,,,,,,,
51753,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
51754,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51755,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
51756,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51757,2,2,1,1,2,1,1,2,2,,2,2,3,2,2,,2,2,4,4,3,1,3,3,3,3,2,,1,2,,,1,,,,,,,,1,1,15
51758,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51759,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,,,,,,,,
51760,2,2,2,2,,2,2,2,,,2,3,3,2,2,,2,2,3,3,2,1,3,3,3,3,2,,1,1,26,495,2,,,,,,,,1,,
