"SEQN","FSD160","FSD170N","FSD180","FSD190","FSD200","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSD450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSD520","FSD655","FSD660C","FSD665","FSQ650","FSD660M","FSD670","HHFDSEC","ADFDSEC","CHFDSEC"
10110,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,2,2
10111,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10112,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10113,2,4,1,12,1,2,,2,2,2,2,,,,,,,,,,,,,,3,3,1
10114,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10115,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10116,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10117,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10119,2,,,,,2,,2,2,2,2,,,,,,,,,,,1,2,3,3,3,2
10120,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
10121,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10122,1,1,2,,,2,,2,2,2,2,,,,,,,,,,,1,1,3,3,3,3
10123,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,2
10124,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
10125,2,1,2,,,1,1,2,2,2,2,,,,,,,,,,,,,,4,4,3
10126,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10127,1,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,1
10128,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10129,1,,,,,,,,,,,,2,2,2,2,,2,1,1,4,,,,3,3,3
10130,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,4
10131,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10132,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
